id,title,lyrics,summary,artist
6453,5 AM in Toronto Lyrics,"[Intro]
Yeah
This on some old Tommy Campos Dice Raw shit, you know?
For my niggas, though

[Verse]
Uh, you underestimated greatly
Most number ones ever, how long did it really take me?
The part I love most is they need me more than they hate me
So they never take shots, I got everybody on safety
I could load every gun with bullets that fire backwards
Probably wouldn't lose a single rapper
Niggas make threats, can't hear 'em over the laughter
Yeah, that's 'cause I'm headed to the bank, nigga
Sinatra lifestyle, I'm just bein' frank with ya
I mean, where you think she at when she ain't with ya?
Wildin', doin' shit that's way out of your budget
Owl sweaters inside her luggage, you gotta love it
Damn, this shit could go on a tape
Bitches lovin' my drive, I never give it a break
Give these niggas the look, the verse, and even the hook
That's why every song sound like Drake featurin' Drake
Str8, Y pree? Why is it always me?
Got us watchin' our words like it's wiretaps on the team
'Cause I show love, never get the same outta niggas
Guess it's funny how money can make change outta niggas
For real, some nobody started feelin' himself
A couple somebodies started killin' themself
A couple albums dropped, those are still on the shelf
I bet them shits would have popped if I was willin' to help
I got a gold trophy from the committee for validation
Bad press during the summer over allegations
I ain't lyin', my nigga, my time is money
That's why I ain't got time for a nigga whose time is coming
A lot of niggas PR stuntin' like that's the movement
And I'm the only nigga still known for the music, I swear
Fuck them niggas this year, I made Forbes list, nigga
Fuck your list, everything's lookin' gorgeous
Without me, rap is just a bunch of orphans
But if I stay, then this shit is a bunch of corpses
And me and my dread nigga from New Orleans
Stashin' money like hoarders off multi-platinum recordings
Eatin' like I’m seated at Swish, Sotto, and Joso's
Nothing Was The Same, this shit for Ezee and Coco
This shit for Karim, this shit for Jaevon
This shit for Julius, Milly Mill, boy, we do this shit for real
All them boys in my will, all them boys is my Wills
Anything happen to pop, then I got you like Uncle Phil
Weezy been on that edge, you niggas just need to chill
If anything happen to Papi, might pop a nigga for real
Comin' live from the screwface, livin' out a suitcase
But I'm feelin' good, Johnny got me pushin' two plates
My weight up, I refused to wait up, I started a new race
It's funny when you think a nigga blew up after Lupe
Niggas treat me like I've been here for 10
Some niggas been here for a couple, never been here again
I'm on my King James shit, I'm tryna win here again
A young nigga tryna win here again, man, what's up?

[Outro]
Ayy, yeah, a young nigga tryin' to win here again
If I like her, I just fly her to the city I'm in
I got her drinkin' with your boy
I got her fucked up, shorty, aww yeah",None,Drake
6435,Pain 1993 (Ft. Playboi Carti) Lyrics,"[Intro: Drake]
(Yo, Pi'erre, yo, Pi’erre)
Ayy

[Chorus: Drake & Playboi Carti]
Ayy
Niggas ain't gotta respect
Niggas just gotta accept
I put that top left
I love my crodie to death (Codeine)
Hype Williams, Lil' X
If you don’t say it direct
Could give a fuck, ayy, yeah, yeah

[Verse 1: Drake & Playboi Carti]
I put some ice on her hand
I let her take an advance
Shit wasn't goin' as planned
I put that shit in the van
She gotta move with her friend
Heard she went back to her man
Give a fuck, ayy
I just put a Wagen in the driveway, you know I did
When I shoot my shot it's the Kawhi way, it's goin' in
Me and lil' Sicko sittin' sideways, breakin’ tens
Used to be an antisocial nigga, now I’m makin' friends
I just got a mansion out in Turks and it’s a beachfront (Okay)
If she's bringin' four friends, I know I'll hit at least one (Okay, slatt, slatt, slatt, slatt)
Got ’em all tannin' by the pool and they greased up
Police in my city, man, I keep they pockets greased up (Okay)
Me and Capo tryna leave our mark and peace the East up
Ain't nobody makin' too much money off the beef stuff (Okay)
But I beef a rapper 'cause I'm never with the sweet stuff
Shawty came from Mexico, she know she got the sweet stuff (Yeah, yeah, yeah, you know)

[Chorus: Drake & Playboi Carti]
Ayy
Niggas ain't gotta respect
Niggas just gotta accept ('Cept)
I put that top left (Ayy)
I love my crodie to death (Codeine)
Hype Williams, Lil' X
If you don't say it direct (Yeah)
Could give a fuck, ayy, yeah, yeah

[Verse 2: Playboi Carti]
Racks all in my jeans and they Raf Simons (Racks in my jeans, okay)
Diamonds all in my teeth, I called up the dentist, yeah (Okay)
Got a Goyard bag, I threw them racks in it (My racks, yeah)
Every time I'm home, you know I whip the Bentley (Yeah, yeah, yeah)
I just threw these pills in my cup, yeah, yeah (Just threw these pills, uh)
Shawty just pulled up just to get fucked (Shawty just pulled up)
But I only want top, yeah, for sure (Only want top)
And I know I'm on top, but I want more (Okay)
Remember I used to sleep on the floor (With my, oh yeah)
Now every day I rock Christian Dior (Okay, Dior, yeah)
Now every day I gotta pour me a four (Lean, lean, lean, lean)
Now every day I gotta pour me a four (Lean, lean, lean, lean, okay)
I spent a hundred K last night in New York (Yeah, yeah)
I spent a hundred K the next day, I was bored (Okay, okay, yeah)
That Lam' truck got numbers on the board (Okay, get it)
Yeah, she keep textin' my phone, I'ma ignore (Yeah, yeah, yeah, yeah)
Yeah (Oh, yeah, yeah, yeah)

[Chorus: Drake & Playboi Carti]
Ayy (Yeah)
Niggas ain't gotta respect
Niggas just gotta accept
I put that top left
I love my crodie to death (Codeine)
Hype Williams, Lil' X
If you don't say it direct
Could give a fuck (Okay), ayy, yeah, yeah",None,Drake
6454,I'm Upset Lyrics,"[Intro]
Yeah
I'm working on dying

[Chorus]
I'm upset
Fifty thousand on my head, it's disrespect
So offended that I had to double check
I'ma always take the money over sex
That's why they need me out the way, what you expect?

[Verse 1]
Got a lot of blood and it's cold
They keep tryna get me for my soul
Thankful for the women that I know
Can't go fifty-fifty with no ho
Every month
I'm supposed to pay her bills and get her what she want
I still got like seven years of doin' what I want
My dad still got child support from 1991 (One, one, one)
Outta town, people love to pop a lot of shit then come around
Word to Flacko Jodye, he done seen us put it down
Niggas askin' if I'm cool

[Chorus]
I'm upset ('Set, 'set)
Hunnid thousand on my head, it's disrespect (Disrespect)
So offended that I had to double check
More Videos
  Powered By

[Verse 2]
You tryna check?
This is real life, niggas think we playin' chess
So what's next?
Jump up out the bed like I'm possessed
I go out on tour and I say I'm drinkin' less
End up gettin' loose and gettin' pictures from my ex (Ex, ex, ex, ex)
SMS, triple X
That's the only time I ever shoot below the neck (Skrr)
Why you keep on shootin' if you know that nigga dead? (Skrr)
That's the only kind of shit that gets you some respect

[Refrain]
Got a lot of blood and it's cold
They keep tryna get me for my soul (For my soul)
Thankful for the women that I know
Can't go fifty-fifty with no ho (Ayy, ayy)
Every month
She don't even love me, she just puttin' on a front (Front)
She gon' try and settle outta court and make a run
Then gon' ask me how I'm doin'?

[Chorus]
I'm upset ('Set, 'set)
Half a million on my head I can accept, yeah
'Least it makes me feel like someone tried their best, yeah
Want to waste a half a million, be my guest
Made me wanna buy a vest and a TEC (Skrr)
But I'm blessed, I just checked (Checked, checked)
Hate me, never met me in the flesh (Flesh)
Said she's got some things she gotta come here and collect
That shit is in a box to the left, to the left (Left, left, left)

[Outro]
Got a lot of blood and it's cold
They keep tryna get me for my soul (For my soul)
Thankful for the women that I know (That I know)
Can't go fifty-fifty with no ho",None,Drake
6482,Jaded Lyrics,"[Intro: Drake]
Ayy, yeah
Dogs on this side, dogs over on this side
Yeah

[Verse 1: Drake & Ty Dolla $ign]
Leaving me (leavin' me)
Dippin' out on me (on me)
Already got what you needed, I guess
Quickly (Quickly) learned yourself through me (Through me)
Already gave you what you needed, I guess (Ooh yeah)
I guess (Yeah) yeah
That's why I'm not with nobody (Ooh yeah)
Cause I don't wanna hurt nobody (Ooh yeah)
Did it over text, didn't call me (Ooh yeah)
Still got love for you, mami
I know you wanna be somebody
Even if you gotta leave somebody (Body) yeah

[Chorus: Drake & Ty Dolla $ign]
Yes I'm hurting, yes I'm jaded (Jaded)
Most of these things I don't wanna say (Jaded)
I wanna be around while you chasin' (While you chasin' it)
You wanna hit me up when you make it
You'll try and come back when you famous
I always want the truth but it's dangerous (Dangerous, oh)
You got somethin' real, not basic (Ooh yeah)
You wanna get with me, stop
Yes I'm hurting, yes I'm jaded (Jaded)
Most of these things, I don't wanna say (Say)
I wanna be around while you chasin'
(Wanna be around, wanna be around)
You wanna hit me up when you make it (Ooh, yeah)
You'll try and come back when you famous
(Back around, back around)
I always want the truth but it's dangerous (Dangerous)
You got somethin' real, not basic
You wanna get with me, stop (Flakin')
Yeah, dogs on this side, dogs over on this side
(Ooh yeah, ooh yeah, ooh yeah)

[Verse 2: Drake & Ty Dolla $ign]
Ayy, told me about all your insecurities, for what?
Dragged me like two hours to your family's house, for what?
Said you need some time but I should stick around, for what?
Always felt like stickin' 'round's the same as being stuck
And like guns with the ink in, you're gettin' under my skin
Pretty little young thing (Young thing)
Had a nigga convinced, got me too excited
Yeah, you played me, you played me, you played me
Lowdown, dirty, shameful, crazy
I need to know how the new nigga you got does the same thing
I do for a living but is way less wavy
How you even managin' to keep straight faces
In all the pictures that I seen lately
Lord knows you still look amazin'
That's besides the point I'm makin'
You're way too opinionated to have to force it, to have to fake it
You had potential, I coulda shaped it
You went and caved in (Ooh yeah)
We coulda waited, I wasn't rushin', difference in ages
You're old enough, but you're still a baby
You've shared stories where you did amazin'
Things to be loyal, things to be patient
That was before me, I musta changed it
Shifted your focus, lens lookin' jaded (Jaded)

[Chorus: Drake & Ty Dolla $ign]
Most of these things I don't wanna say
I wanna be around while you chasin' (While you chasin' it)
You wanna hit me up when you make it
You'll try and come back when you famous
(Back around, back around, dangerous, oh, ooh yeah)
Dogs on this side, dogs over on this side
You wanna get with me, stop (Flakin')",None,Drake
6529,One Dance (Ft. Kyla & Wizkid) Lyrics,"[Intro: Kyla]
Baby, I like your style

[Verse 1: Drake]
Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

[Chorus: Drake]
That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

[Refrain: Kyla]
Baby, I like your style

[Verse 2: Drake]
Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time

[Chorus: Drake]
And that's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

[Bridge: Wizkid]
Got a pretty girl and she love me long time
Wine it, wine it, very long time
Oh yeah, very long time
Back up, back up, back up and wine it
Back up, back up and wine it, girl
Back up, back up, back up and wine it
Oh yeah, very long time
Back, up, back up and wine it, girl

[Refrain: Kyla & Wizkid]
Tell me
I need to know, where do you wanna go?
Cause if you're down, I'll take it slow
Make you lose control
Where, where, where
Where, where, where, where
Oh yeah, very long time
Where, where, where
Back, up, back up and wine it, girl
Where, where, where, where
Cause if you're down
Back up, back up and
Cause if you're down
Back up, back up and
Cause if you're down
Back up, back up and

[Chorus: Drake]
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me",None,Drake
6458,Chicago Freestyle (Ft. Giveon) Lyrics,"[Chorus: Giveon]
Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?

[Verse 1: Drake]
Ayy, truck to the plane to the truck
Truck to the hotel lobby
Me, I go through underground garages
Presidential suite on deposit
Elevator up to the room
Shower up and then we hit the club
Touch down, gotta see what's up
Area code in my phone
What numbers do I still have?
Who do I know from the past?
Hit one, she say she got a man
Hit another one, it goes green
Must've changed phones on the team
'Member when you let me in between
That was 2017
All good, Chubbs will look around
Find one that seem my type
That my dawg and he know what I like
He done found me plenty in my life
Problem is, I meet a girl tonight
Then I go and treat her too nice
Galleria credit card swipes
I don't even know if she a wife

[Pre-Chorus: Drake]
But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday through Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way

[Chorus: Giveon]
Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?

[Verse 2: Drake]
Jewelry in the safe on arrival
Pistol on J for survival
Lot of people gunnin' for the title
Lot of people tryna take us viral
I'm just tryin' to have a nice night though
Waiter brought the check for the meal
She said, ""Babe, I think there was a typo""
Nah, girl, I got it, that's light though
I could show you bigger things than that
It's gon' be a minute 'til I'm back
Let me give you images that last
AMEX had a limit in the past
I had plenty women in the past
I done plenty sinnin' in the past
You don't need to know, but you can ask
Stickin' on your backstage pass
All access 'cause you bad
You could go wherever with that ass
Show to the shower to the truck
Truck to the club for the party
You go in first with your girls
'Cause I don't know who's out there watchin'

[Pre-Chorus: Drake]
But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday, Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way

[Chorus: Giveon]
Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?",None,Drake
6499,Jorja Interlude (Ft. Jorja Smith) Lyrics,"[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I swear
They'll know you're trying to help 'em

[Verse: Drake]
Tryna stay light on my toes
Just ran a light in a Rolls
Told me I'm lookin' exhausted
You hit it right on the nose
I'm tired of all of these niggas
I'm tired of all of these hoes
Worried 'bout takin' my lane
They ain't even got on the road
They turn they back and they leave you
They gon' be back when they need you
I practice good over evil
Flippin' the script like a read-through
Yeah, all of my brothers, we equal
I play my part too, like a sequel
You tell your niggas you got 'em on anything
Question is, do they believe you?
'Specially when you never come through
So much hate inside your heart
We don't even know what we done to you
We just know shit gettin' run through
Never chase it, let it come to you
You out here tellin' everybody everything
You niggas move like the one-two, yeah

[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I swear
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know, they'll know

[Outro: Drake]
And more chune for your headtop
So watch how you speak on my name, you know?",None,Drake
6509,Fake Love Lyrics,"[Chorus]
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face

[Verse 1]
Somethin' ain't right when we talkin'
Somethin' ain't right when we talkin'
Look like you hidin' your problems
Really you never was solid
No, you can't ""son"" me
You won't never get to run me
Just when shit look out of reach
I reach back like one, three
Like one, three, yeah

[Pre-Chorus]
That's when they smile in my face
Whole time they wanna take my place
Whole time they wanna take my place
Whole time they wanna take my place
Yeah, I know they wanna take my place
I can tell that love is fake
I don't trust a word you say
How you wanna clique up after your mistakes?
Look you in the face, and it's just not the same

[Chorus]
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face

[Verse 2]
Yeah, straight up to my face, tryna play it safe
Vibe switch like night and day
I can see it, like, right away
I came up, you changed up
I caught that whole play
Since, things never been the same

[Pre-Chorus]
That's when they smile in my face
Whole time they wanna take my place
Whole time they wanna take my place
Whole time they wanna take my place
Yeah, I know they wanna take my place
I can tell that love is fake (I can tell that love is fake)
I don't trust a word you say (I don't trust a word)
How you wanna clique up after your mistakes?
(That's just what I heard)
Look you in the face, and it's just not the same

[Chorus]
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face
I've been down so long, it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face, straight up to my face

[Outro]
Skrrt
And more chune for your headtop
So watch how you speak on my name, you know?",None,Drake
6464,God's Plan Lyrics,"[Intro]
And they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah

[Verse 1]
I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me

[Chorus]
God's plan, God's plan
I hold back, sometimes I won't, yuh
I feel good, sometimes I don't, ayy, don't
I finessed down Weston Road, ayy, 'nessed
Might go down a G.O.D., yeah, wait
I go hard on Southside G, yeah, wait
I make sure that north-side eat

[Post-Chorus]
And still, bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah, ayy, ayy

[Verse 2]
She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
81, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies

[Chorus]
God's plan, God's plan
I can't do this on my own, ayy, no, ayy
Someone watchin' this shit close, yep, close
I've been me since Scarlett Road, ayy, road, ayy
Might go down as G.O.D., yeah, wait
I go hard on Southside G, ayy, wait
I make sure that north-side eat, yeah

[Post-Chorus]
And still, bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah, yeah
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah",None,Drake
6473,Toosie Slide Lyrics,"[Pre-Chorus]
Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it

[Chorus]
It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy

[Post-Chorus]
Don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you thug passion
It's a Thriller in the trap where we from
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you satisfaction
And you know we out here every day with it
I'ma show you how to get it

[Chorus]
It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin', either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)

[Verse 1]
Two thousand shorties wanna tie the knot, ayy, yeah
Two hundred shooters on my brother's block, woah, yeah
Petal off a rose like I love her not, maybe not
I don't know what's wrong with me, I can't stop, woah, yeah
Won't stop, woah, yeah, never stop
Got so many opps, I be mistakin' opps for other opps
Got so many people that I love out of troubled spots
Other than the family I got, it's either you or me
That's just how I think, it's either you or me
This life got too deep for you, baby
Two or three of us about to creep where they stayin'

[Pre-Chorus]
Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it

[Chorus]
It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)

[Verse 2]
Toosie slide, then I hit it double-time
Then I hit a spin 'cause we spun their block a couple times
If it's not the right time, there'll always be another time
I'm not even trippin', we'll just see 'em in the summertime, woah, yeah
Can't describe the pressure I be puttin' on myself, yeah
Really, I just can't afford to lose nobody else, yeah
If they movin' shaky, we'll just do this shit ourselves, woah
If I'm movin' shaky, Chubbs'll do this shit himself, yeah
Solo niggas, only YOLO, for real
Heard a lot about you but we don't know for real
Next time, guarantee the truth'll get revealed

[Pre-Chorus]
Black leather gloves, no sequins, yeah
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how

[Chorus]
It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide, ayy
Can't let this one slide, ayy

[Post-Chorus]
Don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you thug passion (Passion)
It's a Thriller in the trap where we from (Where we from)
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you satisfaction ('Faction)
And you know we out here every day with it
I'ma show you how to get it

[Chorus]
It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide
(Who's bad?)",None,Drake
