step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.19855,0.61458,,
2,2.73903,0.63077,,
3,1.91895,0.65169,,
4,1.46306,0.80833,,
5,3.42754,0.56818,,
6,2.71908,0.59341,,
7,1.83629,0.73958,,
8,2.46774,0.57895,,
9,1.41435,0.76224,,
10,0.96944,0.85185,2.18572,0.65625
11,1.26101,0.77907,,
12,2.29649,0.59091,,
13,0.84935,0.81203,,
14,1.70572,0.64567,,
15,1.33909,0.70886,,
16,0.52056,0.87281,,
17,0.77118,0.85714,,
18,0.90393,0.79221,,
19,0.93181,0.79221,,
20,0.37211,0.90476,0.72412,0.82524
21,1.59634,0.66667,,
22,0.833,0.78378,,
23,0.89497,0.78431,,
24,0.72734,0.82727,,
25,0.80923,0.83908,,
26,1.22965,0.65,,
27,0.44191,0.88172,,
28,0.56979,0.84375,,
29,0.54837,0.88333,,
30,1.1096,0.75362,0.51967,0.87958
31,0.87666,0.83051,,
32,1.23506,0.83824,,
33,0.37157,0.95238,,
34,0.3584,0.92105,,
35,0.98829,0.87097,,
36,0.28686,0.93421,,
37,1.23423,0.71338,,
38,0.05437,0.9697,,
39,1.8537,0.68817,,
40,0.46926,0.90411,0.71204,0.84733
41,0.44781,0.90123,,
42,0.67344,0.82812,,
43,1.49646,0.68182,,
44,2.48505,0.45763,,
45,0.36997,0.90566,,
46,0.03945,1.0,,
47,0.0895,0.97872,,
48,0.80355,0.81481,,
49,0.79824,0.84314,,
50,0.70808,0.84146,1.72048,0.66434
51,0.35272,0.90909,,
52,0.25742,0.93878,,
53,0.84172,0.85,,
54,0.1419,0.96774,,
55,0.04705,0.98925,,
56,0.14277,0.97436,,
57,0.26163,0.94624,,
58,0.05845,0.97143,,
59,0.23284,0.9375,,
60,0.87145,0.83117,1.50151,0.70199
61,0.32269,0.93548,,
62,0.12979,0.94886,,
63,0.46942,0.86747,,
64,0.08885,0.96875,,
65,0.27553,0.95238,,
66,0.63631,0.86667,,
67,0.61319,0.82979,,
68,1.0042,0.82927,,
69,0.21285,0.91429,,
70,0.79705,0.89474,0.26763,0.94558
71,0.77514,0.81481,,
72,0.02048,1.0,,
73,0.55994,0.88947,,
74,0.73168,0.82667,,
75,0.1978,0.9469,,
76,0.30393,0.94186,,
77,0.33507,0.91096,,
78,1.35336,0.67901,,
79,0.16704,0.95522,,
80,2.003,0.5567,1.91366,0.62887
81,1.3444,0.72549,,
82,0.08876,0.96429,,
83,0.14665,0.95522,,
84,0.08553,0.97333,,
85,0.50498,0.87778,,
86,2.48608,0.51042,,
87,0.69638,0.83505,,
88,0.40631,0.87931,,
89,0.24272,0.95402,,
90,0.75383,0.82317,0.56876,0.86275
91,1.92833,0.61306,,
92,0.3451,0.86486,,
93,0.18153,0.97674,,
94,0.89177,0.80451,,
95,0.0555,0.98374,,
96,0.34381,0.89655,,
97,0.83248,0.81203,,
98,0.02785,1.0,,
99,0.22588,0.96364,,
100,1.33276,0.71429,0.40036,0.90196
101,0.25792,0.93373,,
102,0.07663,0.98837,,
103,0.70192,0.8625,,
104,0.4577,0.88235,,
105,0.70005,0.8535,,
106,2.32889,0.52083,,
107,0.04504,0.98864,,
108,0.53836,0.87654,,
109,0.38961,0.82979,,
110,0.15532,0.9881,0.07125,0.96
111,0.15108,0.94737,,
112,0.84911,0.77953,,
113,0.14971,0.96875,,
114,0.394,0.87342,,
115,0.01263,1.0,,
116,0.13912,0.96875,,
117,0.01736,1.0,,
118,0.02617,0.98925,,
119,0.09493,0.97619,,
120,0.99343,0.78788,0.33844,0.92593
121,0.03315,1.0,,
122,0.15127,0.95455,,
123,0.12212,0.94286,,
124,0.51146,0.87037,,
125,0.27896,0.91608,,
126,0.04876,0.98639,,
127,0.75509,0.80263,,
128,0.04271,0.98507,,
129,0.19178,0.95833,,
130,0.29668,0.94521,0.29956,0.88
131,2.18762,0.50282,,
132,0.67924,0.8,,
133,0.23524,0.94805,,
134,1.79222,0.63918,,
135,0.55989,0.85567,,
136,0.39938,0.90556,,
137,0.08511,0.975,,
138,0.64878,0.84146,,
139,1.19016,0.75281,,
140,0.54112,0.93182,0.11407,0.94545
141,0.03172,1.0,,
142,0.06216,0.98438,,
143,0.63755,0.92105,,
144,0.0157,1.0,,
145,0.23472,0.95283,,
146,0.04526,0.98507,,
147,0.19774,0.93233,,
148,0.70619,0.79167,,
149,0.04473,1.0,,
150,0.61778,0.85185,0.2834,0.95455
151,0.09249,0.98925,,
152,0.6354,0.89024,,
153,0.02626,0.99074,,
154,0.1587,0.95833,,
155,0.17248,0.93182,,
156,0.07826,0.98039,,
157,0.04096,0.97872,,
158,0.19547,0.92857,,
159,0.25607,0.94595,,
160,0.45652,0.90526,2.21638,0.58394
161,0.13802,0.97126,,
162,0.2411,0.91379,,
163,0.00914,1.0,,
164,0.52829,0.85507,,
165,0.19207,0.97368,,
166,0.21875,0.94521,,
167,0.10294,0.97345,,
168,0.20326,0.93827,,
169,0.58267,0.84746,,
170,0.5355,0.90323,1.08948,0.7483
171,0.22027,0.95946,,
172,0.19911,0.95699,,
173,0.002,1.0,,
174,0.27587,0.89655,,
175,0.74637,0.85294,,
176,0.00912,1.0,,
177,0.16087,0.95402,,
178,0.00618,1.0,,
179,0.145,0.96053,,
180,1.03345,0.7451,0.38963,0.92188
181,0.11128,0.96774,,
182,0.20498,0.92857,,
183,0.15622,0.94805,,
184,0.55798,0.88312,,
185,1.75873,0.6449,,
186,1.35816,0.72043,,
187,0.56197,0.85772,,
188,0.45888,0.88,,
189,0.1523,0.97674,,
190,0.45346,0.875,2.61993,0.54321
191,0.39257,0.88889,,
192,0.29637,0.925,,
193,0.39498,0.92632,,
194,1.17142,0.72527,,
195,0.10661,0.97143,,
196,0.00187,1.0,,
197,0.15388,0.93103,,
198,0.10251,0.98276,,
199,0.03075,0.98837,,
200,0.09694,0.98765,2.15639,0.55906
201,0.01345,1.0,,
202,0.38175,0.91358,,
203,0.3188,0.9,,
204,0.00231,1.0,,
205,0.06586,0.975,,
206,0.31902,0.94118,,
207,0.17245,0.9726,,
208,0.01142,1.0,,
209,0.34924,0.95455,,
210,0.12028,0.97674,2.15537,0.5748
211,0.6041,0.875,,
