step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.16502,0.55102,,
2,1.22004,0.83333,,
3,2.73587,0.63077,,
4,0.89934,0.83333,,
5,3.07364,0.46429,,
6,2.8758,0.60377,,
7,1.65938,0.70115,,
8,1.47175,0.77391,,
9,2.54255,0.50195,,
10,2.29518,0.60825,2.5268,0.64062
11,2.36619,0.65116,,
12,1.20144,0.82639,,
13,1.82499,0.70833,,
14,1.59803,0.70229,,
15,1.50632,0.72619,,
16,1.24654,0.79121,,
17,0.9919,0.83893,,
18,0.88335,0.84896,,
19,0.81891,0.84177,,
20,1.68926,0.6383,1.02252,0.75728
21,1.24243,0.74627,,
22,2.70912,0.51316,,
23,1.30159,0.73585,,
24,1.38907,0.67857,,
25,1.09522,0.75309,,
26,1.43089,0.7,,
27,1.91615,0.57273,,
28,0.80314,0.80851,,
29,1.37029,0.68293,,
30,0.64372,0.84906,0.55984,0.87173
31,1.30388,0.696,,
32,1.20841,0.72549,,
33,1.0156,0.7973,,
34,1.04602,0.74026,,
35,0.81589,0.83908,,
36,1.32909,0.70667,,
37,0.72659,0.80741,,
38,0.43778,0.90374,,
39,0.78657,0.8046,,
40,1.80002,0.62222,0.87622,0.82443
41,1.04812,0.71053,,
42,0.66097,0.82517,,
43,0.37461,0.91463,,
44,0.51202,0.90566,,
45,0.50182,0.89796,,
46,0.10633,0.98374,,
47,1.37195,0.71493,,
48,0.38323,0.93023,,
49,1.04221,0.77632,,
50,0.62713,0.8125,1.87898,0.63636
51,0.63151,0.85366,,
52,0.60349,0.85455,,
53,0.73584,0.78906,,
54,0.3796,0.91667,,
55,0.70805,0.82301,,
56,0.06415,1.0,,
57,0.79224,0.87097,,
58,0.28392,0.93989,,
59,0.03164,1.0,,
60,0.36395,0.9191,1.68346,0.68874
61,1.37622,0.75,,
62,0.36169,0.8932,,
63,0.37245,0.88793,,
64,2.04333,0.65323,,
65,0.13654,0.96622,,
66,0.35506,0.95484,,
67,0.19233,0.94872,,
68,2.02096,0.6378,,
69,0.06152,0.98077,,
70,0.17869,0.9375,0.30536,0.93878
71,0.83726,0.90323,,
72,2.51337,0.49479,,
73,0.23984,0.95699,,
74,0.2108,0.94595,,
75,0.19715,0.97561,,
76,0.41638,0.8169,,
77,0.19638,0.95312,,
78,0.53978,0.86747,,
79,0.74021,0.85246,,
80,0.31737,0.88571,1.80499,0.61856
81,1.144,0.73418,,
82,0.50097,0.83908,,
83,0.68438,0.83077,,
84,0.39983,0.89189,,
85,0.26982,0.91379,,
86,0.86961,0.84951,,
87,0.99064,0.78378,,
88,1.44824,0.7,,
89,0.2227,0.97419,,
90,0.30318,0.95455,0.65004,0.82353
91,0.44167,0.94203,,
92,1.55153,0.67442,,
93,0.22917,0.94595,,
94,0.5778,0.84921,,
95,0.41093,0.86885,,
96,1.36561,0.68675,,
97,0.06836,1.0,,
98,1.20498,0.75,,
99,0.612,0.85981,,
100,0.03926,1.0,0.41622,0.88235
101,0.18999,0.93651,,
102,1.91498,0.56977,,
103,2.14986,0.53279,,
104,1.06286,0.80882,,
105,2.69215,0.4806,,
106,0.58814,0.85714,,
107,0.04522,1.0,,
108,0.91365,0.75676,,
109,0.71838,0.82258,,
110,0.5172,0.90179,0.08998,0.98667
111,0.06657,0.98485,,
112,0.18293,0.95062,,
113,2.01422,0.62617,,
114,1.16727,0.86139,,
115,1.17624,0.72222,,
116,1.13109,0.71212,,
117,0.08939,0.97368,,
118,1.46544,0.7125,,
119,0.01744,1.0,,
120,0.22098,0.9375,0.29934,0.92593
121,0.73168,0.81081,,
122,0.32635,0.90278,,
123,0.37042,0.92593,,
124,0.14581,0.92437,,
125,0.85779,0.808,,
126,0.14202,0.95,,
127,0.70982,0.83505,,
128,0.1249,0.96875,,
129,0.49958,0.85294,,
130,0.26629,0.94286,0.2738,0.88
131,0.49207,0.86441,,
132,0.06414,1.0,,
133,0.07963,0.99291,,
134,0.4783,0.85149,,
135,0.16389,0.97368,,
136,0.52786,0.86111,,
137,1.01699,0.75309,,
138,0.15369,0.95455,,
139,0.1114,0.97849,,
140,0.23516,0.9,0.11328,0.94545
141,0.8599,0.875,,
142,1.28076,0.67647,,
143,0.34921,0.89524,,
144,0.05189,0.98851,,
145,0.47024,0.85586,,
146,0.33737,0.90972,,
147,0.29489,0.94253,,
148,0.158,0.93827,,
149,0.50071,0.86826,,
150,0.47108,0.92105,0.27674,0.95455
151,0.4761,0.93548,,
152,0.24238,0.93182,,
153,0.82216,0.81481,,
154,0.53075,0.90476,,
155,1.18627,0.72632,,
156,0.46538,0.8481,,
157,0.19876,0.91111,,
158,0.50762,0.87952,,
159,0.11369,0.91803,,
160,0.33709,0.89726,2.1221,0.59124
161,0.35462,0.8961,,
162,0.00985,1.0,,
163,0.18668,0.9403,,
164,0.58915,0.84615,,
165,0.70562,0.8,,
166,1.64162,0.66667,,
167,0.44863,0.92632,,
168,1.33831,0.7027,,
169,0.23974,0.94253,,
170,0.50432,0.87786,1.19574,0.73469
171,1.17109,0.73248,,
172,0.45073,0.8908,,
173,0.57069,0.88542,,
174,0.15768,0.93478,,
175,0.16715,0.96226,,
176,0.30314,0.97059,,
177,1.33754,0.78571,,
178,0.17987,0.92208,,
179,0.37482,0.9434,,
180,0.39547,0.87805,0.392,0.9375
181,0.66861,0.84211,,
182,1.22979,0.78641,,
183,1.1277,0.75532,,
184,2.31562,0.48023,,
185,1.14599,0.80342,,
186,0.64273,0.9375,,
187,0.01315,1.0,,
188,0.70399,0.82667,,
189,1.08885,0.74545,,
190,0.5249,0.85938,2.49003,0.53704
191,1.3428,0.75,,
192,0.31303,0.96203,,
193,0.81952,0.79825,,
194,0.64555,0.86538,,
195,0.18759,0.94231,,
196,0.21334,0.93233,,
197,0.64318,0.84,,
198,0.722,0.82692,,
199,0.07169,0.97297,,
200,0.39623,0.88636,1.99974,0.55906
201,0.99534,0.77228,,
202,0.23743,0.96296,,
203,0.03848,0.99187,,
204,0.06075,0.95745,,
205,1.14868,0.71053,,
206,0.66882,0.85841,,
207,2.25148,0.49257,,
208,1.26173,0.73585,,
209,0.50793,0.89333,,
210,0.30257,0.95,2.03727,0.5748
211,0.24104,0.94231,,
212,0.64008,0.87963,,
213,0.07035,0.96875,,
214,0.18978,0.94805,,
215,0.34329,0.91892,,
216,0.19196,0.94907,,
217,0.85133,0.81538,,
218,0.59537,0.86486,,
219,0.9182,0.82927,,
220,0.43295,0.87324,0.71666,0.88636
221,0.36334,0.93258,,
222,0.18911,0.92647,,
223,0.27642,0.91489,,
224,1.15065,0.75904,,
225,0.20495,0.92105,,
226,0.32261,0.91549,,
227,0.1912,0.96104,,
228,1.3162,0.73256,,
229,0.86037,0.82979,,
230,0.50966,0.85088,0.06,1.0
231,0.20328,0.92857,,
232,0.25507,0.88235,,
233,0.12064,0.97297,,
234,2.31286,0.52604,,
235,0.11465,0.96622,,
236,0.44344,0.84615,,
237,0.28086,0.9375,,
238,0.24892,0.89873,,
239,0.46641,0.90789,,
240,0.10965,0.97727,0.69964,0.82857
241,0.25471,0.94444,,
242,0.02477,1.0,,
243,0.43457,0.88,,
244,0.15751,0.95918,,
245,0.29261,0.96875,,
246,0.60033,0.82692,,
247,0.22219,0.93056,,
248,0.13466,1.0,,
249,0.46802,0.84444,,
250,1.6843,0.64567,1.80864,0.66935
251,0.00309,1.0,,
252,0.8493,0.81731,,
253,0.32146,0.92793,,
254,0.54512,0.88,,
255,0.26982,0.9187,,
256,0.25723,0.95833,,
257,0.88157,0.77895,,
258,0.18958,0.91139,,
259,0.31096,0.88136,,
260,0.19768,0.92045,0.26478,0.91304
261,0.02793,1.0,,
262,0.063,0.98319,,
