step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.14922,0.58696,3.96828,0.43939
2,1.50789,0.79592,2.90925,0.53846
3,1.66395,0.75676,3.27895,0.52632
4,1.32391,0.81651,1.7271,0.77273
5,1.78064,0.65421,1.90592,0.67606
6,0.996,0.86607,2.96333,0.41722
7,1.55106,0.7033,3.11623,0.37209
8,1.86008,0.65238,2.32294,0.61765
9,3.36652,0.36559,0.79039,0.81667
10,1.65203,0.65812,2.82687,0.40476
11,1.75056,0.64583,0.5399,0.85714
12,1.49882,0.71162,0.6829,0.83459
13,1.4714,0.66667,2.21362,0.56345
14,1.80252,0.60606,1.29356,0.64286
15,2.0064,0.6,1.11575,0.71053
16,1.34716,0.65517,0.40232,0.89011
17,0.96829,0.70455,1.58724,0.63208
18,1.07221,0.71795,0.57219,0.82963
19,0.82739,0.75,2.57427,0.46078
20,1.41846,0.63043,0.7221,0.79592
21,1.31177,0.71429,0.46974,0.8875
22,0.81964,0.78022,1.45281,0.74074
23,1.50452,0.64646,0.4204,0.90909
24,0.75011,0.82759,2.39836,0.45333
25,2.88847,0.43011,0.2976,0.90826
26,1.26109,0.75519,0.20546,0.96053
27,1.05644,0.7265,0.46216,0.89474
28,1.38146,0.725,0.48844,0.8913
29,0.39828,0.9009,0.37324,0.9086
30,0.10922,0.98214,0.4818,0.89535
31,0.49564,0.8785,0.38837,0.92857
32,1.03242,0.81633,0.40335,0.91525
33,0.17929,0.9633,0.44907,0.91803
34,0.68109,0.85417,0.53533,0.87368
35,0.9719,0.83163,1.1973,0.8
36,2.69165,0.44624,0.69857,0.82812
37,0.57865,0.89583,0.29704,0.94318
38,0.0241,1.0,0.98236,0.80851
39,0.11247,0.97727,0.07699,0.97674
40,1.25394,0.71717,0.5243,0.88732
41,0.82851,0.82906,0.26064,0.90217
42,0.8418,0.80435,0.59271,0.83824
43,0.23615,0.96552,0.44179,0.86842
44,0.15432,0.95495,1.0144,0.77206
45,0.66533,0.87179,0.73406,0.82873
46,0.10878,0.97248,0.1898,0.94495
47,1.08331,0.77801,0.36042,0.89333
48,0.41914,0.91209,0.08333,0.96324
49,0.90699,0.77619,0.4242,0.92771
50,1.10075,0.75,0.22229,0.93478
51,0.3126,0.92523,0.60002,0.8629
52,0.8269,0.79048,0.57603,0.88182
53,0.11215,0.96396,0.14803,0.93642
54,0.68192,0.83761,1.28131,0.74242
55,0.28755,0.92523,0.25469,0.89916
56,0.10018,0.95455,0.46533,0.8
57,0.82824,0.85714,0.15724,0.96053
58,0.34078,0.89583,0.71265,0.875
59,0.35067,0.93407,0.35838,0.90411
60,0.98323,0.79668,2.91146,0.51316
61,0.28042,0.89744,0.42002,0.92188
62,0.00827,1.0,0.82001,0.81633
63,0.98829,0.7875,0.22995,0.94118
64,1.02958,0.73737,1.47084,0.63529
65,2.53096,0.48387,0.34261,0.86957
66,0.15723,0.96552,0.63059,0.8
67,0.6541,0.82609,0.28417,0.90625
68,0.06706,0.98165,0.58752,0.83333
69,0.75192,0.86735,0.54666,0.83871
70,0.00868,1.0,0.57288,0.79245
71,0.07304,0.99099,1.52001,0.79412
72,0.92138,0.8,0.71446,0.75325
73,0.09754,0.96552,1.20679,0.82353
74,0.24845,0.89744,0.43008,0.88732
75,0.22979,0.91667,0.6768,0.88462
76,0.27078,0.94505,2.80756,0.44505
77,0.54721,0.82609,0.5562,0.84
78,0.07081,0.97727,0.96336,0.80952
79,0.93558,0.74747,0.70095,0.86111
80,0.64666,0.87143,2.46131,0.48684
81,0.05531,0.98165,1.25882,0.83333
82,0.50628,0.87179,0.83653,0.75758
83,0.20993,0.96262,1.83429,0.61538
84,2.50174,0.48387,1.50904,0.75439
85,0.91514,0.81743,0.5374,0.87879
