step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.86631,0.60494,,
2,1.07205,0.84091,,
3,2.73457,0.56604,,
4,4.17741,0.57143,,
5,2.86291,0.53097,,
6,1.00108,0.85185,,
7,1.15141,0.84397,,
8,3.85033,0.5,,
9,1.46523,0.74737,,
10,1.173,0.7839,3.55248,0.4697
11,1.34519,0.75789,,
12,1.30555,0.7619,,
13,1.04937,0.83065,,
14,1.55871,0.74706,,
15,1.20216,0.78469,,
16,0.78007,0.85202,,
17,3.02261,0.53333,,
18,1.89287,0.58696,,
19,3.33711,0.40278,,
20,1.41706,0.71845,2.30281,0.52564
21,1.12107,0.8,,
22,0.86568,0.81379,,
23,0.88108,0.81333,,
24,1.52369,0.71162,,
25,2.39894,0.58824,,
26,1.83276,0.62136,,
27,2.33229,0.59211,,
28,2.13838,0.44828,,
29,1.19606,0.72881,,
30,1.45989,0.65306,1.86153,0.61404
31,1.49087,0.63077,,
32,2.21157,0.47368,,
33,1.44974,0.67626,,
34,0.875,0.7947,,
35,0.71226,0.80519,,
36,0.81631,0.82775,,
37,2.30855,0.54286,,
38,0.82914,0.77551,,
39,2.34319,0.49798,,
40,0.47419,0.87681,0.70777,0.78788
41,1.20094,0.68675,,
42,0.45248,0.85714,,
43,1.26314,0.69231,,
44,0.86209,0.76068,,
45,0.53555,0.86441,,
46,0.50622,0.8961,,
47,1.24858,0.73148,,
48,1.31722,0.73171,,
49,2.44301,0.45977,,
50,0.54152,0.87879,0.71799,0.87324
51,0.78494,0.72222,,
52,3.03755,0.44624,,
53,0.31619,0.93388,,
54,0.38906,0.85965,,
55,0.13796,0.97692,,
56,0.33975,0.875,,
57,1.80705,0.65152,,
58,0.37722,0.88542,,
59,2.01284,0.57025,,
60,0.35257,0.93382,1.97097,0.54305
61,0.22056,0.96774,,
62,1.18213,0.72642,,
63,0.30434,0.93064,,
64,0.48085,0.86916,,
65,0.30276,0.9375,,
66,0.83145,0.9,,
67,1.07633,0.725,,
68,0.60406,0.85714,,
69,0.49327,0.83871,,
70,0.35628,0.90244,2.12528,0.55814
71,0.20961,1.0,,
72,0.8015,0.84112,,
73,0.19438,0.94805,,
74,2.95807,0.46544,,
75,0.23312,0.91026,,
76,0.45819,0.825,,
