step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.73074,0.7766,,
2,3.0934,0.54321,,
3,3.74015,0.57778,,
4,3.03554,0.60784,,
5,1.48161,0.73171,,
6,3.21868,0.5,,
7,4.59735,0.41935,,
8,2.98516,0.57831,,
9,1.49031,0.72414,,
10,1.57781,0.77011,2.32901,0.65625
11,2.59196,0.59302,,
12,2.52561,0.53846,,
13,2.32783,0.61194,,
14,2.93941,0.54054,,
15,2.49076,0.51948,,
16,1.54732,0.67273,,
17,1.64264,0.64815,,
18,1.44548,0.69388,,
19,1.8436,0.59302,,
20,1.09792,0.75701,0.78325,0.81553
21,1.10537,0.76136,,
22,1.4477,0.675,,
23,0.68277,0.83721,,
24,0.5936,0.87432,,
25,0.92896,0.8046,,
26,1.29923,0.71186,,
27,0.59227,0.84848,,
28,0.67966,0.84127,,
29,1.65996,0.68421,,
30,2.03856,0.65517,0.5401,0.86911
31,1.61658,0.67521,,
32,2.3974,0.47674,,
33,0.39661,0.89247,,
34,0.3851,0.90588,,
35,0.30406,0.94444,,
36,0.21758,0.94495,,
37,0.76838,0.80952,,
38,1.57967,0.6747,,
39,0.2351,0.94286,,
40,0.31034,0.92593,0.71792,0.85496
41,0.64785,0.83594,,
42,0.09855,0.96154,,
43,0.12899,0.96053,,
44,0.8487,0.83333,,
45,1.25095,0.93103,,
46,1.94043,0.68182,,
47,0.81963,0.8,,
48,0.6132,0.83673,,
49,1.10173,0.74286,,
50,0.59211,0.87273,1.68804,0.68531
51,0.10618,0.98485,,
52,1.38778,0.72727,,
53,0.23209,0.95745,,
54,0.15298,0.95946,,
55,0.64869,0.83065,,
56,0.7292,0.80531,,
57,0.04163,1.0,,
58,0.15604,0.96809,,
59,0.44758,0.87407,,
60,0.1653,0.92437,1.51684,0.70199
61,0.28737,0.92308,,
62,0.32657,0.94118,,
63,0.50943,0.89286,,
64,0.47839,0.90625,,
65,1.34334,0.70064,,
66,0.30267,0.94521,,
67,1.212,0.7,,
68,0.19126,0.94444,,
69,0.30563,0.95238,,
70,0.09857,0.96226,0.28784,0.94558
71,0.14992,0.94048,,
72,0.51299,0.88421,,
73,0.78986,0.82308,,
74,0.09643,0.94444,,
75,0.67811,0.81111,,
76,0.22369,0.96296,,
77,2.14258,0.53689,,
78,0.02281,1.0,,
79,0.95732,0.82558,,
80,1.57107,0.66279,1.89079,0.60825
81,0.56509,0.88636,,
82,0.55437,0.83333,,
83,0.04518,0.9902,,
84,0.3336,0.91667,,
85,0.44277,0.92754,,
86,0.11104,0.97436,,
87,0.18278,0.94505,,
88,1.17721,0.74359,,
89,0.10004,0.9697,,
90,2.05293,0.59512,0.67151,0.84314
91,0.20845,0.89189,,
92,0.40665,0.88591,,
93,0.38063,0.84615,,
94,1.63791,0.65672,,
95,0.69103,0.87963,,
96,0.4564,0.84685,,
97,0.38877,0.85816,,
98,0.26328,0.93333,,
99,0.76549,0.90323,,
100,0.27914,0.9071,0.46741,0.86275
101,0.05521,0.98374,,
102,0.47599,0.89062,,
103,0.61707,0.84,,
104,0.63868,0.88732,,
105,0.60338,0.88542,,
106,0.05693,0.98214,,
107,0.52502,0.87629,,
108,0.66331,0.8,,
109,0.03195,1.0,,
110,0.34202,0.9375,0.08646,0.98667
111,0.50875,0.8481,,
112,0.2482,0.94624,,
113,1.3166,0.72851,,
114,0.15602,0.96552,,
115,1.91456,0.55294,,
116,0.47372,0.92683,,
117,0.39487,0.93548,,
118,0.56749,0.83077,,
119,0.67249,0.856,,
120,0.34842,0.96923,0.26552,0.92593
121,0.03751,1.0,,
122,0.7026,0.85496,,
123,0.1449,0.95062,,
124,0.30475,0.94839,,
125,1.49464,0.7,,
126,0.83924,0.83133,,
127,0.17799,0.93182,,
128,0.56008,0.94737,,
129,0.26484,0.91566,,
130,0.59977,0.87037,0.33533,0.88
131,0.01181,1.0,,
132,1.21098,0.71681,,
133,0.31499,0.91892,,
134,0.74211,0.83951,,
135,1.13742,0.75,,
136,1.47817,0.7,,
137,1.21436,0.71053,,
138,0.02025,1.0,,
139,0.13538,0.9596,,
140,0.23312,0.93333,0.12919,0.92727
141,0.45388,0.90455,,
142,1.32104,0.7375,,
143,0.31825,0.95122,,
144,0.64883,0.83721,,
145,0.47236,0.9084,,
146,0.58116,0.81111,,
147,0.27384,0.9375,,
148,0.48368,0.90265,,
149,0.40641,0.8866,,
150,0.43529,0.89231,0.28965,0.95455
151,0.21176,0.93103,,
152,0.01409,0.99187,,
153,0.09092,0.97727,,
154,0.21317,0.94253,,
155,0.04664,0.98851,,
156,0.46169,0.90361,,
157,0.617,0.83133,,
158,0.0381,1.0,,
159,0.06717,0.98684,,
160,1.62935,0.62791,2.15036,0.59124
161,0.42944,0.88095,,
162,0.68893,0.85987,,
163,1.33149,0.72093,,
164,0.09459,0.95238,,
165,0.16642,0.96923,,
166,0.57078,0.86916,,
167,1.9868,0.54508,,
168,0.00246,1.0,,
169,0.50175,0.88889,,
170,0.27268,0.93151,0.99227,0.78231
171,0.23435,0.87097,,
172,0.28804,0.87179,,
173,0.24219,0.95238,,
174,0.90173,0.76364,,
175,0.06899,0.97143,,
176,0.43121,0.85484,,
177,0.0543,0.98901,,
178,0.30948,0.92958,,
179,0.17856,0.93443,,
180,0.23279,0.95312,0.20453,0.96875
181,0.05453,0.97479,,
182,0.02311,1.0,,
183,0.74926,0.83333,,
184,0.38665,0.89431,,
185,1.23267,0.73494,,
186,0.00153,1.0,,
187,0.86464,0.80556,,
188,0.40685,0.91667,,
189,0.0982,0.97297,,
190,0.00659,1.0,2.66621,0.54321
191,0.1379,0.97059,,
192,0.85859,0.82143,,
193,0.25238,0.93989,,
194,0.17867,0.97419,,
195,0.11905,0.97872,,
196,1.0298,0.76923,,
197,1.06755,0.82051,,
198,0.13246,0.95833,,
199,0.49258,0.88889,,
200,0.39684,0.89506,2.16688,0.55118
201,1.03805,0.86275,,
202,0.02674,1.0,,
203,0.63239,0.84615,,
204,0.32376,0.89796,,
205,1.2371,0.75714,,
206,0.04374,0.98148,,
207,0.00863,1.0,,
208,0.34992,0.90625,,
209,0.261,0.95652,,
210,1.02763,0.74242,2.11063,0.54331
211,0.25461,0.95833,,
212,0.21832,0.92857,,
213,0.45703,0.89535,,
214,0.14531,0.96774,,
215,0.95432,0.76106,,
216,0.41134,0.875,,
217,0.55562,0.8642,,
218,0.15267,0.95455,,
219,0.58228,0.92105,,
220,0.22232,0.95035,0.74989,0.88636
221,1.40766,0.70149,,
222,0.42606,0.94737,,
223,0.00618,1.0,,
224,0.37362,0.91579,,
225,0.14878,0.96386,,
226,0.64162,0.93103,,
227,0.39879,0.88136,,
228,1.65737,0.58824,,
229,0.22055,0.87179,,
230,0.64356,0.83571,0.01397,1.0
231,0.12388,0.96296,,
232,0.17117,0.94595,,
233,0.16213,0.94595,,
234,0.08355,0.97849,,
235,0.06442,0.97674,,
236,0.11803,0.97872,,
237,0.06993,0.98765,,
238,0.36986,0.91892,,
239,0.00149,1.0,,
240,0.14486,0.98148,0.69029,0.82857
241,0.04616,0.98485,,
242,1.24709,0.72222,,
243,0.27536,0.91489,,
244,0.47131,0.85294,,
245,0.01733,1.0,,
246,0.42054,0.84,,
247,0.43836,0.9,,
248,1.04871,0.79104,,
249,0.24502,0.91111,,
250,0.35361,0.89873,1.91153,0.62903
251,0.82382,0.93103,,
252,0.11365,0.98148,,
253,0.12672,0.96471,,
254,0.91453,0.825,,
255,0.40235,0.90323,,
256,0.06469,0.99138,,
257,0.26043,0.93289,,
258,1.54939,0.70455,,
259,0.0549,0.98765,,
260,0.62575,0.88312,0.14408,0.97826
261,0.84958,0.79012,,
262,0.13246,0.96364,,
263,0.50764,0.904,,
264,0.2151,0.93269,,
265,0.27594,0.89286,,
266,0.96026,0.76316,,
267,0.84316,0.83673,,
268,0.01839,1.0,,
269,0.2981,0.9186,,
270,0.15505,0.95699,0.03561,0.98649
271,0.4497,0.90667,,
272,1.83999,0.61951,,
273,0.00099,1.0,,
274,0.31599,0.92793,,
275,0.00472,1.0,,
276,0.17194,0.93617,,
277,1.14654,0.72093,,
278,0.30688,0.92742,,
279,0.39442,0.90741,,
280,0.79726,0.79646,0.33375,0.92453
