step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.89353,0.82949,,
2,1.90745,0.66234,,
3,2.84055,0.60606,,
4,4.0596,0.43836,,
5,3.36269,0.61111,,
6,1.30332,0.83486,,
7,1.44712,0.74737,,
8,2.02839,0.61818,,
9,2.8655,0.5,,
10,1.72502,0.65686,3.03985,0.51515
11,2.18709,0.61364,,
12,2.66609,0.55422,,
13,1.0259,0.81221,,
14,1.17196,0.75983,,
15,0.99777,0.80085,,
16,1.27531,0.78125,,
17,0.98762,0.82258,,
18,1.04063,0.78378,,
19,1.24266,0.73498,,
20,2.33244,0.61538,2.0241,0.55128
21,1.5324,0.64957,,
22,1.26573,0.71765,,
23,1.73719,0.62385,,
24,1.09235,0.64865,,
25,1.26797,0.75455,,
26,0.72921,0.80808,,
27,0.76026,0.78481,,
28,0.81189,0.76991,,
29,1.60766,0.58228,,
30,1.63518,0.64912,1.59787,0.68421
31,0.84629,0.74444,,
32,2.51024,0.51948,,
33,1.06015,0.73846,,
34,0.56101,0.825,,
35,0.42896,0.85366,,
36,1.257,0.71429,,
37,0.86663,0.67442,,
38,0.45604,0.88542,,
39,2.50381,0.47583,,
40,0.97993,0.8,0.47797,0.89394
41,0.75445,0.85149,,
42,0.6398,0.8871,,
43,0.85427,0.76404,,
44,2.44184,0.5,,
45,0.20529,0.97674,,
46,0.80251,0.78333,,
47,1.16286,0.78125,,
48,0.63016,0.87179,,
49,0.2232,0.92683,,
50,0.46171,0.82857,0.5856,0.85915
51,0.33133,0.90099,,
52,0.38881,0.89706,,
53,2.16871,0.56923,,
54,1.15037,0.85714,,
55,0.13452,0.96154,,
56,0.2508,0.94326,,
57,1.28937,0.86957,,
58,0.44216,0.89655,,
59,2.3471,0.54167,,
60,1.03749,0.76531,0.9741,0.76821
61,0.25335,0.88889,,
62,0.2643,0.89474,,
63,0.23307,0.92188,,
64,0.38167,0.86667,,
65,0.15954,0.90476,,
66,0.3466,0.8961,,
67,1.10566,0.76364,,
68,0.55019,0.775,,
69,0.08012,1.0,,
70,1.6259,0.69663,2.2429,0.5
71,0.22085,0.94805,,
72,0.34254,0.9,,
73,0.29257,0.90667,,
74,1.01321,0.74444,,
75,2.09534,0.60177,,
76,0.34894,0.91071,,
77,0.15391,0.9434,,
78,0.79105,0.8,,
79,1.15187,0.85714,,
80,0.31553,0.90698,0.37758,0.91176
81,1.15513,0.74648,,
82,1.5271,0.65487,,
83,0.40665,0.82143,,
84,0.18575,0.90769,,
85,1.60842,0.61644,,
86,0.3125,0.92982,,
87,0.03809,1.0,,
88,1.5516,0.71233,,
89,0.69526,0.8125,,
90,0.58103,0.89831,0.39016,0.90556
91,0.60246,0.81319,,
92,0.28344,0.92593,,
93,0.68388,0.82051,,
94,1.38321,0.73029,,
95,0.70211,0.88,,
96,0.27166,0.93878,,
97,1.08864,0.75177,,
98,0.45367,0.8,,
99,0.22575,0.88,,
100,0.2049,0.92623,1.65132,0.66667
101,0.32843,0.875,,
102,0.62831,0.78431,,
103,0.41664,0.93162,,
104,0.2971,0.90526,,
105,0.21612,0.93182,,
106,0.30951,0.91912,,
107,0.83969,0.79592,,
108,0.30411,0.93671,,
109,0.50003,0.82418,,
110,0.28156,0.91919,0.26225,0.88435
111,0.11466,0.9633,,
112,0.19787,0.94059,,
113,0.2099,0.85714,,
114,1.28067,0.69912,,
115,0.80191,0.8125,,
116,0.43431,0.87611,,
117,1.40665,0.64384,,
118,0.17915,0.93506,,
119,0.15476,0.95161,,
120,0.06727,1.0,0.34538,0.88722
121,0.16715,0.96,,
122,0.26475,0.92222,,
123,0.4685,0.82609,,
124,0.14757,0.97163,,
125,0.11379,0.96104,,
126,0.46709,0.88372,,
