step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.73297,0.53788,,
2,1.29363,0.8172,,
3,1.7962,0.72477,,
4,1.45371,0.75789,,
5,2.70286,0.54688,,
6,1.33459,0.81884,,
7,2.91536,0.52174,,
8,4.15619,0.4,,
9,1.5631,0.74699,,
10,3.40747,0.40323,3.2903,0.48485
11,1.96184,0.63333,,
12,1.50536,0.7234,,
13,2.96734,0.42735,,
14,1.89055,0.67442,,
15,4.80544,0.42857,,
16,2.6421,0.53659,,
17,1.62874,0.67164,,
18,1.79903,0.67442,,
19,1.50777,0.67857,,
20,1.96093,0.63158,2.15021,0.53846
21,1.1251,0.74576,,
22,0.85315,0.82292,,
23,2.9928,0.47826,,
24,2.51765,0.45802,,
25,0.64562,0.84146,,
26,1.59998,0.67164,,
27,1.49818,0.64516,,
28,0.72127,0.82569,,
29,1.41711,0.64615,,
30,1.30557,0.65306,1.69395,0.63158
31,1.35168,0.64583,,
32,1.89972,0.60656,,
33,0.35946,0.89781,,
34,1.54704,0.575,,
35,1.4183,0.61905,,
36,0.60229,0.875,,
37,0.93874,0.79039,,
38,1.8897,0.57143,,
39,0.45114,0.87805,,
40,0.42816,0.91837,0.48901,0.90909
41,1.14805,0.71154,,
42,1.42385,0.65854,,
43,1.44121,0.65986,,
44,0.66603,0.86093,,
45,0.5837,0.87681,,
46,0.9504,0.74684,,
47,0.23268,0.94872,,
48,0.7672,0.84706,,
49,0.57855,0.84211,,
50,0.38857,0.91304,0.60436,0.83099
51,0.45784,0.90141,,
52,0.2873,0.89474,,
53,0.1949,0.96429,,
54,0.74097,0.83898,,
55,1.20489,0.69828,,
56,0.53462,0.83721,,
57,0.14134,0.93578,,
58,0.6939,0.84058,,
59,1.39715,0.72822,,
60,0.22361,0.93103,0.77341,0.82781
61,1.00798,0.8209,,
62,0.33654,0.93548,,
63,0.07213,1.0,,
64,3.48865,0.36047,,
65,0.6299,0.86603,,
66,1.33947,0.69811,,
67,1.94022,0.60976,,
68,1.71323,0.66207,,
69,1.61316,0.67123,,
70,0.12914,0.95152,2.25351,0.53488
71,0.69383,0.88889,,
72,0.50945,0.89744,,
73,0.44643,0.81905,,
74,0.1975,0.95918,,
75,0.34724,0.9186,,
76,0.13017,0.97778,,
77,0.42156,0.88333,,
78,0.1544,0.95238,,
79,0.3748,0.88506,,
80,0.5841,0.89385,0.63057,0.88235
81,0.46745,0.85714,,
82,0.71962,0.725,,
83,0.33848,0.93382,,
84,1.17984,0.75182,,
85,0.69608,0.78378,,
86,1.53264,0.65693,,
87,1.5507,0.61538,,
88,0.26537,0.93182,,
89,0.10742,0.95238,,
90,0.4228,0.83696,0.40082,0.9
91,1.54844,0.67677,,
92,0.15712,0.93878,,
93,0.98557,0.68571,,
94,1.0169,0.79412,,
95,0.38733,0.86364,,
96,0.22873,0.94286,,
97,0.47543,0.88298,,
98,1.8939,0.6,,
99,0.39274,0.89109,,
100,0.26059,0.91304,1.51177,0.66667
101,0.3666,0.89583,,
102,1.76491,0.63717,,
103,0.34369,0.91667,,
104,0.6437,0.8087,,
105,0.92209,0.83673,,
106,0.1444,0.92,,
107,0.14221,0.95556,,
108,0.57453,0.80556,,
109,0.20995,0.88372,,
110,0.22487,0.93617,0.26768,0.91156
111,0.27146,0.91667,,
112,0.04547,0.97938,,
113,2.64015,0.47514,,
114,0.28787,0.875,,
115,0.2525,0.9375,,
116,0.35282,0.95139,,
117,1.55989,0.77027,,
118,0.60678,0.88119,,
119,0.51216,0.7931,,
120,0.30104,0.88889,0.34497,0.90226
121,0.32913,0.90345,,
122,0.71335,0.84112,,
123,1.02244,0.7732,,
124,0.76292,0.84536,,
125,0.55015,0.86842,,
126,1.28224,0.72093,,
127,0.38253,0.87778,,
128,0.7981,0.80303,,
129,0.14619,0.93671,,
130,0.63815,0.83019,2.05762,0.58883
131,1.97553,0.54231,,
132,2.06204,0.53441,,
133,1.23143,0.7156,,
134,0.24349,0.93103,,
135,0.28423,0.92857,,
136,0.22955,0.93651,,
137,0.71147,0.84211,,
138,0.14172,0.95833,,
139,1.66141,0.84211,,
140,0.20897,0.94805,0.47846,0.88095
141,0.19362,0.94318,,
142,0.13651,0.95238,,
143,0.13902,0.95652,,
144,0.27721,0.94203,,
145,0.18089,0.93023,,
146,0.5006,0.90503,,
147,0.28885,0.89744,,
148,0.30848,0.90909,,
149,2.30483,0.48601,,
150,1.22033,0.72263,0.24852,0.92105
151,0.82765,0.85204,,
152,0.43593,0.825,,
153,2.99253,0.36047,,
154,0.63845,0.79167,,
155,0.36703,0.91489,,
156,0.14317,0.95652,,
157,0.63541,0.86,,
158,0.68796,0.82812,,
159,0.48772,0.86792,,
160,1.30701,0.73737,0.06623,0.97802
161,1.07217,0.78689,,
162,0.97434,0.7561,,
163,0.12879,0.96591,,
164,0.39636,0.87234,,
165,0.87176,0.85714,,
166,0.10703,0.9708,,
167,0.07004,0.97959,,
168,0.29949,0.89247,,
169,1.52393,0.68333,,
170,1.40262,0.75676,1.00352,0.74528
171,0.62916,0.82576,,
172,2.92587,0.46774,,
173,0.22527,0.9375,,
174,0.70104,0.81013,,
175,0.98851,0.82558,,
176,0.04859,0.97778,,
177,0.1114,0.97101,,
178,0.07432,0.95238,,
179,2.49974,0.48619,,
180,0.0421,0.98788,0.38766,0.87407
181,0.93358,0.78899,,
182,0.82664,0.80272,,
183,0.4131,0.81081,,
184,1.28309,0.71724,,
185,0.61164,0.78333,,
186,0.06009,0.96552,,
187,2.11877,0.52991,,
188,0.27729,0.92632,,
189,0.94432,0.79562,,
190,0.57998,0.85593,2.28872,0.5
191,0.16555,0.95413,,
192,0.23326,0.93793,,
193,0.19969,0.94444,,
194,0.70473,0.83582,,
195,0.84208,0.77143,,
196,1.42046,0.69863,,
197,0.4952,0.86957,,
198,0.54676,0.84615,,
199,0.18585,0.91667,,
200,0.29003,0.9,0.65523,0.82653
201,0.68838,0.83406,,
202,0.17919,0.9375,,
203,0.48249,0.79592,,
204,0.56198,0.87629,,
205,0.174,0.93056,,
206,0.40151,0.85075,,
207,0.09589,0.96599,,
208,0.57942,0.88596,,
209,0.16133,0.96825,,
210,0.15156,0.89655,0.21884,0.9375
211,0.70724,0.80488,,
212,0.63238,0.725,,
213,0.9236,0.78302,,
214,0.10212,0.96,,
215,0.86351,0.76522,,
216,0.21585,0.95349,,
217,0.31871,0.95181,,
218,0.84321,0.77586,,
219,0.76728,0.84314,,
220,0.27428,0.89655,1.07491,0.81481
221,0.14589,0.96023,,
222,0.0776,0.97778,,
223,0.29146,0.8913,,
224,1.20972,0.75104,,
225,0.22168,0.97222,,
226,0.06949,0.95413,,
227,0.13759,0.96341,,
228,0.40625,0.87719,,
229,0.06796,1.0,,
230,0.1202,0.97436,0.06976,1.0
231,0.10781,0.97403,,
232,1.5424,0.65854,,
233,0.09056,0.98165,,
234,0.11387,0.94737,,
235,1.48547,0.70796,,
236,1.98447,0.5587,,
237,0.22485,0.92079,,
238,1.11093,0.86957,,
239,0.25965,0.91667,,
240,0.20018,0.95714,2.01547,0.58667
241,0.07669,0.95238,,
242,1.26056,0.64286,,
243,1.89105,0.64394,,
244,0.82533,0.81443,,
245,0.2993,0.91346,,
246,1.35742,0.66923,,
247,0.30418,0.89286,,
248,0.54091,0.85075,,
249,0.15212,0.94286,,
250,0.0314,1.0,0.16993,0.93578
251,0.60958,0.84615,,
252,0.15867,0.93878,,
253,0.42697,0.89474,,
254,0.0703,1.0,,
255,0.23058,0.94118,,
256,0.13219,0.92683,,
257,0.43949,0.88235,,
258,0.1159,0.97163,,
259,0.31426,0.94444,,
260,0.2096,0.96774,0.09619,0.94737
261,0.34467,0.92754,,
262,0.04431,0.98734,,
263,0.41326,0.80556,,
264,0.48538,0.88372,,
265,0.63546,0.80508,,
266,0.10319,0.96377,,
267,0.35683,0.82759,,
268,0.31222,0.91549,,
269,0.27703,0.90476,,
270,0.14287,0.925,0.22461,0.91228
271,0.93781,0.76744,,
272,0.71855,0.77419,,
273,0.51303,0.86916,,
274,0.16171,0.94737,,
275,1.83292,0.56154,,
276,0.58698,0.78947,,
277,0.28153,0.88372,,
278,0.387,0.89855,,
279,0.24898,0.91071,,
280,0.41822,0.90728,0.39717,0.90217
281,0.46141,0.89952,,
282,0.10503,0.95238,,
283,0.04909,0.95238,,
284,0.31207,0.91089,,
285,0.03123,0.97938,,
286,0.15254,0.9375,,
287,0.65646,0.74286,,
288,0.792,0.81132,,
289,0.05588,0.98551,,
290,0.0935,0.95122,0.29608,0.92473
291,0.03336,1.0,,
292,0.10979,0.93023,,
293,0.72685,0.73171,,
294,0.13898,0.9703,,
295,1.23886,0.7,,
296,0.3373,0.86792,,
297,0.5134,0.8806,,
298,0.08041,0.97248,,
299,0.60211,0.87755,,
300,0.02809,1.0,0.31436,0.93023
301,0.42339,0.86957,,
302,0.22853,0.92958,,
303,1.117,0.75172,,
304,0.15476,0.93548,,
305,0.24295,0.92857,,
306,0.3544,0.89796,,
307,1.68659,0.65909,,
308,0.44459,0.89691,,
309,0.06725,0.95652,,
310,0.22983,0.95181,0.25857,0.92857
311,0.67424,0.84536,,
312,0.05756,0.95833,,
313,2.7583,0.38953,,
314,0.13734,0.97917,,
315,0.51147,0.84848,,
316,0.59096,0.84279,,
317,1.75692,0.58077,,
318,0.07848,0.95714,,
319,0.64952,0.85217,,
320,0.04702,0.97959,0.32299,0.92373
321,0.09918,0.97222,,
322,0.0604,0.97222,,
323,0.28179,0.91228,,
324,0.21824,0.92473,,
325,0.10957,0.96875,,
326,1.88582,0.5641,,
327,0.18242,0.94565,,
328,1.06365,0.78788,,
329,0.07621,0.98582,,
330,0.11287,0.97895,0.30641,0.90164
331,0.38034,0.8806,,
332,0.08604,0.97727,,
333,1.25388,0.71667,,
334,0.66346,0.83621,,
335,2.80184,0.48387,,
336,0.09398,0.95238,,
337,0.94484,0.76642,,
338,0.04014,0.97959,,
339,0.20233,0.92593,,
340,0.04242,0.97778,0.38995,0.88421
341,0.24763,0.78378,,
342,0.1526,0.95714,,
343,0.19318,0.91954,,
344,0.09495,0.96341,,
345,0.02842,0.99394,,
346,1.08382,0.77593,,
347,0.49956,0.84746,,
348,1.3151,0.69912,,
349,0.50717,0.86441,,
350,0.41256,0.89231,1.20496,0.75
351,0.72326,0.86224,,
352,1.1999,0.73973,,
353,0.12567,0.93023,,
354,0.06265,0.94737,,
355,0.06504,0.96429,,
356,0.44883,0.90351,,
357,0.0353,0.99083,,
358,0.58359,0.82258,,
359,0.09874,0.97222,,
360,0.42953,0.78947,0.68146,0.82031
361,0.34397,0.91589,,
362,0.76629,0.90476,,
363,0.52195,0.87805,,
364,0.0894,0.95833,,
365,0.0269,1.0,,
366,0.06597,0.97101,,
