step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.19752,0.61458,,
2,1.5272,0.72358,,
3,2.01557,0.69737,,
4,1.65055,0.72642,,
5,2.5943,0.6092,,
6,3.07064,0.51282,,
7,1.41679,0.78824,,
8,1.41496,0.72414,,
9,2.99699,0.41608,,
10,1.00073,0.83333,2.00192,0.6875
11,0.86916,0.86992,,
12,2.16377,0.57643,,
13,2.361,0.51707,,
14,2.79919,0.45238,,
15,0.80366,0.8253,,
16,1.56484,0.66242,,
17,2.3796,0.56452,,
18,1.02439,0.76543,,
19,0.95659,0.77778,,
20,0.68786,0.85366,0.67352,0.84466
21,0.51811,0.88506,,
22,3.22248,0.3797,,
23,0.52204,0.86585,,
24,0.63605,0.83621,,
25,1.97524,0.55952,,
26,0.68272,0.86316,,
27,1.22385,0.6747,,
28,0.73812,0.8,,
29,0.68428,0.83832,,
30,1.1482,0.77778,0.51512,0.8822
31,0.3592,0.90909,,
32,0.56977,0.88,,
33,0.98696,0.78704,,
34,1.63056,0.68605,,
35,0.10562,0.98485,,
36,0.4005,0.875,,
37,0.08227,0.96629,,
38,0.85349,0.81481,,
39,0.2707,0.88889,,
40,0.84792,0.89474,0.82668,0.82443
41,0.18139,0.95062,,
42,0.13395,0.96667,,
43,0.17395,0.96703,,
44,0.54869,0.8046,,
45,1.17023,0.70833,,
46,0.28028,0.94286,,
47,0.29995,0.90566,,
48,0.63057,0.88288,,
49,0.44014,0.89691,,
50,0.27162,0.95431,1.52681,0.69231
51,1.24198,0.75214,,
52,0.28562,0.93243,,
53,0.05913,0.98374,,
54,0.13106,0.96154,,
55,1.67625,0.64865,,
56,1.06765,0.76429,,
57,0.04737,0.97368,,
58,0.48638,0.94118,,
59,0.25371,0.95714,,
60,0.60088,0.83871,1.46423,0.69536
61,0.83287,0.80769,,
62,0.1857,0.96552,,
63,0.82415,0.84615,,
64,0.37122,0.95652,,
65,0.31049,0.89759,,
66,0.02048,1.0,,
67,1.45957,0.67857,,
68,0.91243,0.79286,,
69,0.3551,0.88506,,
70,2.38229,0.5,0.31141,0.93878
71,0.17533,0.97143,,
72,0.0801,0.96104,,
73,0.62639,0.83333,,
74,0.13913,0.95238,,
75,0.79661,0.79167,,
76,0.4092,0.87097,,
77,0.18354,0.95714,,
78,1.36156,0.7093,,
79,0.10842,0.96552,,
80,0.70026,0.82308,1.76997,0.61856
81,0.14891,0.95294,,
82,0.06779,0.99187,,
83,0.6614,0.83333,,
84,0.0247,1.0,,
85,0.11942,0.97531,,
86,0.37489,0.88618,,
87,0.29421,0.9125,,
