step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.1918,0.48,,
2,2.8254,0.6,,
3,1.80157,0.70423,,
4,5.41472,0.42857,,
5,3.06179,0.62069,,
6,3.2376,0.59459,,
7,2.40209,0.60784,,
8,3.11374,0.5493,,
9,1.58894,0.74286,,
10,3.2263,0.48214,,
11,2.1078,0.64948,,
12,3.57572,0.54839,,
13,2.98512,0.45299,,
14,2.54768,0.48077,,
15,2.2571,0.66667,,
16,2.95778,0.5641,,
17,1.1208,0.83529,,
18,0.76974,0.87273,,
19,1.83356,0.71429,,
20,3.11772,0.5,,
21,2.17014,0.69231,,
22,0.87413,0.84302,,
23,2.01046,0.51163,,
24,1.77571,0.69333,,
25,2.45434,0.49593,,
26,3.79804,0.42105,,
27,1.7383,0.66667,,
28,1.57137,0.65957,,
29,0.53536,0.86636,,
30,0.87428,0.80645,,
31,1.00583,0.7619,,
32,2.4804,0.60606,,
33,0.58531,0.8314,,
34,0.60592,0.86239,,
35,2.38327,0.59677,,
36,0.6108,0.88406,,
37,2.16782,0.62162,,
38,0.65194,0.83616,,
39,2.05736,0.57143,,
40,0.786,0.83562,,
41,1.09298,0.72881,,
42,0.96899,0.75497,,
43,1.14412,0.72581,,
44,0.37802,0.9187,,
45,0.54547,0.89474,,
46,1.99355,0.46341,,
47,0.56864,0.8254,,
48,0.59097,0.81609,,
49,0.7719,0.77778,,
50,0.65327,0.82857,,
51,1.5683,0.63725,,
52,0.6423,0.84337,,
53,0.65058,0.82014,,
54,0.74657,0.85475,,
55,1.21279,0.78022,,
56,1.11313,0.72826,,
57,0.58494,0.86047,,
58,0.7249,0.81395,,
59,0.48856,0.88043,,
60,0.41034,0.91935,,
61,2.26024,0.57522,,
62,0.81824,0.83333,,
63,0.67167,0.87931,,
64,1.81995,0.62626,,
65,0.56407,0.86957,,
66,0.70579,0.80851,,
67,1.69442,0.64384,,
68,3.33043,0.34884,,
69,0.69545,0.79825,,
70,0.54854,0.85185,,
71,0.58964,0.82609,,
72,0.25845,0.95745,,
73,0.3746,0.91071,,
74,1.0686,0.7931,,
75,0.18944,0.94737,,
76,0.58368,0.90588,,
77,0.89056,0.80583,,
78,0.73762,0.8087,,
79,0.54035,0.85106,,
80,0.85115,0.77273,,
81,0.87512,0.78462,,
82,0.27414,0.92405,,
83,0.18698,0.925,,
84,1.09172,0.77551,,
85,0.21641,0.94203,,
86,0.25067,0.92708,,
87,0.75581,0.78378,,
88,0.11068,0.97248,,
89,0.73844,0.82812,,
90,0.24196,0.92958,,
91,0.34691,0.95139,,
92,0.02586,1.0,,
93,0.7519,0.75676,,
94,0.17424,0.94286,,
95,0.31095,0.88571,,
96,0.23131,0.93722,,
97,0.14077,0.94898,,
98,1.26486,0.72527,,
99,0.23381,0.95652,,
100,0.82517,0.78125,0.89086,0.81818
101,0.30449,0.95946,,
102,1.11035,0.83099,,
103,0.51418,0.86047,,
104,0.40382,0.81481,,
105,0.29612,0.88435,,
106,0.32071,0.91667,,
107,0.04282,1.0,,
108,0.15646,0.92661,,
109,1.30969,0.67606,,
110,1.22713,0.71978,,
111,0.92625,0.75,,
112,0.80947,0.88,,
113,1.27266,0.68354,,
114,0.09585,0.97368,,
115,0.60065,0.88235,,
116,1.00336,0.77033,,
117,2.16235,0.52632,,
118,0.21141,0.94667,,
119,0.60664,0.87037,,
120,1.59461,0.67866,,
121,0.91432,0.80488,,
122,1.76793,0.6087,,
123,1.32141,0.69118,,
124,0.6644,0.83333,,
125,2.29554,0.57759,,
126,0.16597,0.97647,,
127,1.047,0.75556,,
128,1.49369,0.63043,,
129,0.34738,0.91176,,
130,0.08623,0.95238,,
131,0.25657,0.85714,,
132,0.2733,0.92188,,
133,0.15229,0.88462,,
134,1.10238,0.75177,,
135,1.59048,0.70492,,
136,0.08135,0.97938,,
137,0.55598,0.88268,,
138,0.9108,0.81013,,
139,1.86491,0.60833,,
140,0.97474,0.81373,,
141,0.12207,0.90909,,
142,0.57288,0.86093,,
143,2.14451,0.56923,,
144,0.09969,0.92,,
145,0.13429,0.97222,,
146,0.90233,0.78947,,
147,0.32307,0.875,,
148,0.44657,0.88571,,
149,0.15785,0.93671,,
150,0.78116,0.80303,,
151,0.8791,0.76923,,
152,0.17682,0.91304,,
153,1.03725,0.82353,,
154,0.19626,0.9322,,
155,0.43363,0.84,,
156,2.49831,0.51389,,
157,1.44633,0.67883,,
158,0.68923,0.83529,,
159,0.3385,0.85714,,
160,0.43195,0.825,,
161,0.27205,0.93064,,
162,0.0879,0.97115,,
163,2.4177,0.47328,,
164,0.64629,0.85981,,
165,0.93307,0.80519,,
166,2.12056,0.58621,,
167,0.38666,0.91919,,
168,0.5218,0.8,,
169,1.01762,0.7623,,
170,0.25095,0.90244,,
171,0.22517,0.93548,,
172,0.51088,0.85606,,
173,2.25021,0.50862,,
174,0.25516,0.88,,
175,0.47765,0.84507,,
176,1.69394,0.63158,,
177,0.56811,0.81319,,
178,1.58498,0.6281,,
179,0.56563,0.87081,,
180,0.53558,0.84615,,
181,0.1521,0.94815,,
182,0.39753,0.88608,,
183,0.13725,0.94595,,
184,0.27371,0.91111,,
185,1.1386,0.73585,,
186,0.82664,0.79913,,
187,1.33153,0.77174,,
188,1.1162,0.71552,,
189,0.53463,0.78125,,
190,0.24896,0.94366,,
191,0.07642,1.0,,
192,0.72927,0.78261,,
193,0.36884,0.91346,,
194,2.10904,0.57471,,
195,0.9366,0.76923,,
196,0.44206,0.89706,,
197,0.70765,0.8125,,
198,0.04755,1.0,,
199,0.20386,0.95833,,
200,0.3191,0.91176,1.58614,0.61538
201,3.22598,0.40392,,
202,1.3017,0.81111,,
203,1.05775,0.75391,,
204,0.86604,0.80342,,
205,0.18621,0.9375,,
206,0.91101,0.76136,,
207,0.39577,0.87778,,
208,0.36056,0.92857,,
209,2.02155,0.56522,,
210,0.10645,0.97248,,
211,0.58446,0.87081,,
212,0.43442,0.88785,,
213,0.78126,0.87097,,
214,0.3912,0.85,,
215,0.80222,0.8,,
216,0.57806,0.86139,,
217,0.8042,0.79739,,
218,0.29776,0.91892,,
219,0.9383,0.79104,,
220,0.22281,0.93939,,
221,1.12547,0.71318,,
222,0.91932,0.71084,,
223,0.25707,0.87097,,
224,1.06541,0.75,,
225,0.13278,0.96429,,
226,0.19348,0.92208,,
227,2.91171,0.41398,,
228,0.17938,0.91429,,
229,0.71016,0.85714,,
230,0.54106,0.77551,,
231,1.39943,0.72199,,
232,0.03108,1.0,,
233,0.37891,0.89412,,
234,0.09472,0.96154,,
235,1.28722,0.7377,,
236,0.12099,0.93939,,
237,1.97275,0.62121,,
238,0.57808,0.78761,,
239,0.19287,0.95918,,
240,0.34834,0.88966,,
241,0.60518,0.77632,,
242,0.15235,0.94558,,
243,0.34657,0.9,,
244,0.11286,0.96552,,
245,1.83047,0.55556,,
246,1.46467,0.69091,,
247,0.07538,1.0,,
248,1.20907,0.72438,,
249,1.33238,0.775,,
250,1.53416,0.61538,,
251,0.4459,0.86957,,
252,0.07892,0.96429,,
253,0.06128,0.97183,,
254,0.42687,0.85507,,
255,0.21842,0.95455,,
256,0.285,0.88636,,
257,0.94854,0.76364,,
258,0.69861,0.85567,,
259,0.75748,0.76471,,
260,0.385,0.90909,,
261,1.37734,0.70946,,
262,0.75441,0.81013,,
263,0.59622,0.86441,,
264,0.12092,0.98113,,
265,0.89696,0.85714,,
266,0.35067,0.84444,,
267,0.10594,0.95238,,
268,2.50091,0.51839,,
269,1.44948,0.67647,,
270,0.42613,0.86301,,
271,2.01019,0.63636,,
272,1.00966,0.73529,,
273,0.80824,0.83529,,
274,2.63241,0.46409,,
275,0.21003,0.94118,,
276,0.49889,0.82759,,
277,1.11996,0.74779,,
278,0.37671,0.92233,,
279,0.41543,0.8629,,
280,0.41597,0.93548,,
281,1.16042,0.75182,,
282,0.92457,0.82051,,
283,0.8362,0.7619,,
284,0.11878,0.96154,,
285,0.30932,0.92079,,
286,1.63645,0.62832,,
287,0.32066,0.91026,,
288,0.78496,0.81579,,
289,0.27803,0.92308,,
290,1.75267,0.62821,,
291,1.30109,0.65,,
292,0.67536,0.87879,,
293,0.61436,0.85256,,
294,0.58757,0.87692,,
295,0.098,0.91304,,
296,1.66337,0.59459,,
297,0.63687,0.80508,,
298,0.17392,0.94805,,
299,0.11965,0.96324,,
300,0.7918,0.85938,1.25,0.75439
301,0.4205,0.85417,,
302,0.70316,0.83582,,
303,1.03978,0.75362,,
304,0.14967,0.94488,,
305,0.30558,0.87097,,
306,0.37899,0.9186,,
307,1.44361,0.77193,,
308,0.06772,0.95238,,
309,0.15464,0.9562,,
310,0.68087,0.82895,,
311,0.39757,0.88889,,
312,0.19421,0.86,,
313,1.20565,0.72477,,
314,0.28138,0.91667,,
315,0.51642,0.86486,,
316,0.48481,0.85841,,
317,0.48315,0.86905,,
318,1.14878,0.72727,,
319,1.92879,0.56164,,
320,0.35251,0.88421,,
321,0.5663,0.87179,,
322,0.21205,0.95349,,
323,3.16178,0.42182,,
324,0.86744,0.77419,,
325,0.17688,0.91892,,
326,0.15484,0.95122,,
327,1.0732,0.71429,,
328,0.10613,0.96104,,
329,1.42003,0.70952,,
330,0.99771,0.71429,,
331,0.21741,0.9,,
332,2.33128,0.56164,,
333,0.50132,0.89109,,
334,1.00318,0.77391,,
335,1.06788,0.71538,,
336,0.99175,0.74286,,
337,1.14002,0.76259,,
338,0.46117,0.87719,,
339,0.25772,0.89062,,
340,0.14242,0.94643,,
341,0.49387,0.88,,
342,0.58154,0.83333,,
343,1.35187,0.61702,,
344,0.58422,0.86842,,
345,0.57453,0.8871,,
346,1.47135,0.73034,,
347,0.50589,0.86076,,
348,0.57731,0.84211,,
349,1.14192,0.7561,,
350,0.4416,0.89614,,
351,0.27492,0.88889,,
