step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.60607,0.77778,,
2,2.564,0.5,,
3,4.24074,0.40426,,
4,1.49905,0.79268,,
5,3.17189,0.44444,,
6,5.0362,0.42857,,
7,0.92127,0.87402,,
8,1.14212,0.82353,,
9,1.95567,0.68254,,
10,2.09801,0.71053,,
11,1.02498,0.82308,,
12,3.19466,0.54545,,
13,2.46587,0.53333,,
14,3.38618,0.55263,,
15,1.6052,0.72059,,
16,1.14144,0.79426,,
17,2.58393,0.56897,,
18,1.40457,0.74,,
19,4.3861,0.47826,,
20,0.9071,0.79817,,
21,1.95069,0.66667,,
22,2.74221,0.45833,,
23,4.69646,0.42105,,
24,0.67023,0.89431,,
25,1.67747,0.65882,,
26,0.9715,0.83544,,
27,1.05865,0.78947,,
28,2.9879,0.5,,
29,2.05226,0.71111,,
30,2.75324,0.47692,,
31,1.2044,0.68627,,
32,0.93546,0.75714,,
33,0.94977,0.69027,,
34,0.64565,0.87059,,
35,2.14069,0.53097,,
36,1.92992,0.57895,,
37,1.06571,0.75352,,
38,0.40881,0.89286,,
39,1.15149,0.76033,,
40,2.06165,0.61765,,
41,2.20171,0.50385,,
42,2.40504,0.488,,
43,0.9659,0.7,,
44,1.53683,0.64151,,
45,1.50674,0.61905,,
46,1.29423,0.74725,,
47,0.70453,0.80808,,
48,0.90052,0.74286,,
49,1.57119,0.6,,
50,1.13293,0.70588,,
51,1.53647,0.64,,
52,0.75702,0.78723,,
53,1.69987,0.71264,,
54,1.1108,0.7907,,
55,0.80277,0.82558,,
56,0.43833,0.90323,,
57,1.3472,0.63636,,
58,0.592,0.88636,,
59,0.68942,0.7973,,
60,0.54055,0.83333,,
61,0.59204,0.83333,,
62,0.80317,0.78205,,
63,0.82128,0.77419,,
64,0.19434,0.93548,,
65,0.70996,0.86364,,
66,1.2058,0.71429,,
67,0.28076,0.93548,,
68,0.19244,1.0,,
69,0.1814,0.96296,,
70,0.94628,0.75,,
71,0.28822,0.90909,,
72,0.30252,0.91031,,
73,0.48165,0.93103,,
74,1.0115,0.80909,,
75,0.17646,0.93333,,
76,0.65382,0.89412,,
77,1.21334,0.7033,,
78,0.38436,0.88889,,
79,1.6542,0.90476,,
80,0.66429,0.80328,,
81,0.5666,0.81818,,
82,0.33056,0.92708,,
83,0.32922,0.92188,,
84,0.71081,0.87037,,
85,0.65167,0.89385,,
86,0.21749,0.93684,,
87,1.01175,0.79688,,
88,0.35707,0.88966,,
89,0.51451,0.80435,,
90,0.4795,0.89671,,
91,0.35329,0.91566,,
92,0.2168,0.9375,,
93,0.1923,0.9322,,
94,0.56873,0.88136,,
95,1.16637,0.72566,,
96,1.02353,0.82143,,
97,0.31941,0.86957,,
98,0.69647,0.78632,,
99,0.33562,0.85,,
100,0.35646,0.90476,0.94293,0.81818
101,0.10474,0.97794,,
102,0.2543,0.94928,,
103,0.18902,0.94156,,
104,0.14974,0.92,,
105,0.49502,0.88298,,
106,0.31656,0.88095,,
107,0.60735,0.84516,,
108,0.32645,0.86301,,
109,1.15649,0.72727,,
110,0.54043,0.8,,
111,0.17241,0.92208,,
112,0.49688,0.81081,,
113,1.07128,0.82143,,
114,1.39542,0.64286,,
115,1.30176,0.67347,,
