step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.42868,0.76077,,
2,0.93307,0.875,,
3,2.99916,0.6,,
4,5.47118,0.38095,,
5,3.80222,0.47541,,
6,2.64849,0.59259,,
7,0.82034,0.86413,,
8,3.23928,0.44828,,
9,1.43002,0.76842,,
10,1.90958,0.65574,,
11,2.52252,0.62069,,
12,1.95731,0.64789,,
13,3.76244,0.45,,
14,2.52298,0.57609,,
15,1.99872,0.67347,,
16,3.00016,0.56452,,
17,1.45021,0.77477,,
18,2.41424,0.62637,,
19,1.56485,0.74706,,
20,3.75072,0.53659,,
21,2.06324,0.65306,,
22,3.86017,0.47619,,
23,1.41018,0.7234,,
24,1.0964,0.81651,,
25,2.26752,0.63415,,
26,1.92724,0.625,,
27,1.19153,0.78462,,
28,1.35557,0.70213,,
29,2.15,0.67742,,
30,1.63602,0.65517,,
31,1.32055,0.63158,,
32,0.97951,0.80282,,
33,1.86055,0.64286,,
34,1.01208,0.74737,,
35,2.34823,0.62069,,
36,1.71038,0.60526,,
37,0.63602,0.86647,,
38,0.44477,0.91057,,
39,0.86746,0.83133,,
40,1.32192,0.68919,,
41,1.85567,0.52381,,
42,3.08039,0.40331,,
43,1.08264,0.7,,
44,2.80389,0.42466,,
45,2.80807,0.47619,,
46,0.74563,0.80519,,
47,0.95695,0.75497,,
48,2.46215,0.53982,,
49,1.78951,0.6,,
50,0.61332,0.83544,,
51,1.32829,0.68085,,
52,0.4836,0.86316,,
53,3.57916,0.34118,,
54,0.96637,0.62857,,
55,0.33498,0.9092,,
56,0.38185,0.89796,,
57,0.61482,0.87059,,
58,0.97755,0.78166,,
59,1.53562,0.65934,,
60,0.87732,0.74419,,
61,0.38852,0.89524,,
62,0.8422,0.74627,,
63,1.50432,0.67442,,
64,0.58419,0.86364,,
65,0.75704,0.84211,,
66,1.23778,0.72165,,
67,1.00757,0.73438,,
68,0.51419,0.84127,,
69,0.99028,0.65517,,
70,1.13675,0.74444,,
71,1.73849,0.58462,,
72,2.3008,0.48718,,
73,1.99724,0.62602,,
74,2.25817,0.51822,,
75,1.29922,0.74648,,
76,1.35871,0.73134,,
77,0.70554,0.8022,,
78,0.81474,0.8481,,
79,0.74041,0.82203,,
80,0.29424,0.91667,,
81,0.37904,0.93023,,
82,0.58295,0.84071,,
83,0.19336,0.91549,,
84,0.67227,0.79487,,
85,0.45451,0.84783,,
86,1.58633,0.66667,,
87,1.51961,0.72131,,
88,0.69777,0.87097,,
89,1.34071,0.73684,,
90,0.38879,0.90604,,
91,0.11334,0.96748,,
92,0.20426,0.93671,,
93,1.63091,0.65217,,
94,1.44599,0.70476,,
95,2.39939,0.47837,,
96,1.63832,0.73626,,
97,1.12251,0.79104,,
98,0.73045,0.79825,,
99,0.11251,0.97778,,
100,1.19586,0.73852,0.93837,0.80303
101,1.41341,0.65714,,
102,0.67802,0.84722,,
103,0.19381,0.95714,,
104,0.54678,0.84615,,
105,1.62727,0.70909,,
106,1.11489,0.71429,,
107,0.35692,0.82143,,
108,0.07235,0.97778,,
109,0.18426,0.95833,,
110,0.62955,0.82353,,
111,0.21162,0.92661,,
112,0.84983,0.80488,,
113,0.98173,0.82653,,
114,1.55418,0.66667,,
115,0.93091,0.76119,,
116,0.07909,0.96296,,
117,0.40873,0.84,,
118,0.31683,0.91667,,
119,0.57832,0.89744,,
120,0.31024,0.91111,,
121,0.14308,0.96154,,
122,0.1895,0.95122,,
123,0.80028,0.80282,,
124,3.37398,0.36047,,
125,0.24932,0.94326,,
126,2.12683,0.6,,
127,1.63882,0.67677,,
128,0.11505,0.96,,
129,0.50499,0.8785,,
130,0.41248,0.89062,,
131,0.20495,0.92568,,
132,0.2375,0.95161,,
133,0.22109,0.93103,,
134,0.53275,0.78125,,
135,0.80415,0.76087,,
136,0.36542,0.85714,,
137,0.59242,0.83761,,
138,0.16145,0.96341,,
139,0.07932,0.97115,,
140,0.21786,0.94366,,
141,0.29574,0.90476,,
142,0.09865,0.94624,,
143,0.8733,0.87912,,
144,0.86699,0.78947,,
145,0.63296,0.83333,,
146,1.15848,0.74359,,
147,1.10982,0.75472,,
148,1.86762,0.57534,,
149,2.94041,0.47005,,
150,1.75024,0.63158,,
151,1.33584,0.65957,,
152,0.6075,0.85714,,
153,0.36925,0.90345,,
154,0.70176,0.85185,,
155,0.82416,0.79787,,
156,1.04408,0.76172,,
157,0.51711,0.88372,,
158,0.81368,0.79545,,
159,1.33393,0.67857,,
160,1.45931,0.69118,,
161,0.80056,0.80392,,
162,0.23389,0.9375,,
163,0.98808,0.74038,,
164,0.50581,0.84956,,
165,0.62792,0.81967,,
166,0.26368,0.94928,,
167,0.46369,0.76,,
168,1.10438,0.73626,,
169,0.97395,0.88571,,
170,2.24804,0.52137,,
171,0.41709,0.88889,,
172,0.1845,0.95556,,
173,0.43963,0.89091,,
174,0.28801,0.93548,,
175,1.58265,0.625,,
176,1.10184,0.78462,,
177,0.78899,0.78788,,
178,0.27169,0.90667,,
179,0.73223,0.80645,,
180,0.58378,0.83,,
181,0.20392,0.94643,,
182,0.562,0.90503,,
183,0.13492,0.95833,,
184,0.57244,0.83761,,
185,0.20023,0.9,,
186,0.99074,0.75,,
187,0.14581,0.9434,,
188,0.84486,0.79747,,
189,0.18839,0.91837,,
190,2.04435,0.55285,,
191,0.15282,0.94928,,
192,0.13142,0.94737,,
193,2.11333,0.57576,,
194,0.42068,0.88043,,
195,1.76077,0.84211,,
196,0.1493,0.92,,
197,0.70504,0.82143,,
198,0.78888,0.78571,,
199,0.57552,0.86603,,
200,0.08783,0.96053,1.67698,0.61538
201,0.08327,0.94231,,
202,0.563,0.7973,,
203,0.16103,0.94495,,
204,0.76965,0.85027,,
205,0.46165,0.87719,,
206,0.85484,0.81538,,
207,0.43052,0.82143,,
208,1.14033,0.76259,,
209,0.85977,0.77419,,
210,1.90148,0.59167,,
211,1.14399,0.70423,,
212,0.17535,0.95918,,
213,0.77248,0.84848,,
214,0.2446,0.92,,
215,0.17541,0.9359,,
216,0.43699,0.87671,,
217,0.4431,0.82927,,
218,0.23261,0.92188,,
219,0.57203,0.8547,,
220,0.52589,0.85556,,
221,0.31363,0.86111,,
222,0.15916,0.95161,,
223,0.82036,0.80769,,
224,0.32865,0.88506,,
225,0.16902,0.94355,,
226,0.4087,0.88701,,
227,2.18749,0.576,,
228,0.33275,0.90476,,
229,1.51358,0.74713,,
230,0.42515,0.88489,,
231,1.17573,0.7069,,
232,0.40781,0.89286,,
233,0.87503,0.81169,,
234,1.37711,0.73913,,
235,0.4381,0.87097,,
236,0.26014,0.93865,,
237,0.73394,0.85567,,
238,1.53665,0.72973,,
