step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.61184,0.61905,,
2,3.9388,0.45,,
3,1.48703,0.78947,,
4,2.49455,0.67188,,
5,2.97942,0.46154,,
6,3.56341,0.4918,,
7,2.57434,0.57282,,
8,1.73629,0.71739,,
9,1.95403,0.66923,,
10,1.31844,0.77333,3.60471,0.4697
11,2.58535,0.6,,
12,3.09052,0.51786,,
13,3.77675,0.54286,,
14,1.34629,0.76623,,
15,2.6151,0.49315,,
16,1.89997,0.67606,,
17,2.48184,0.53846,,
18,3.00172,0.62069,,
19,1.09666,0.77228,,
20,1.15991,0.71795,2.30554,0.52564
21,0.87727,0.84146,,
22,1.24102,0.71111,,
23,1.54433,0.63636,,
24,0.93846,0.78873,,
25,2.74145,0.49231,,
26,2.73283,0.47826,,
27,1.04013,0.78205,,
28,1.5866,0.64062,,
29,1.59438,0.64286,,
30,0.81515,0.80769,1.98145,0.61404
31,1.77568,0.64267,,
32,0.66824,0.84146,,
33,1.34037,0.70492,,
34,0.80025,0.77778,,
35,2.51212,0.44079,,
36,1.39966,0.67626,,
37,0.25849,0.92208,,
38,0.70529,0.7619,,
39,0.8914,0.76821,,
40,1.15666,0.6,0.68654,0.80303
41,1.82041,0.57143,,
42,1.60048,0.64789,,
43,0.45268,0.86316,,
44,0.39608,0.89744,,
45,2.16325,0.61905,,
46,2.43635,0.47009,,
47,0.79104,0.78723,,
48,1.64193,0.78889,,
49,0.18813,0.96154,,
50,1.32724,0.66038,0.68424,0.87324
51,0.59705,0.89474,,
52,1.21029,0.71795,,
53,0.3778,0.93939,,
54,0.3391,0.88372,,
55,0.31446,0.92208,,
56,1.27157,0.68354,,
57,0.92114,0.80645,,
58,0.2719,0.93252,,
59,0.44726,0.86667,,
60,0.13367,0.9633,1.58744,0.60265
61,0.30669,0.92683,,
62,0.87394,0.80786,,
63,1.34616,0.73134,,
64,0.23944,0.93617,,
65,0.31242,0.88889,,
66,0.67839,0.83333,,
67,0.83124,0.80303,,
68,3.28606,0.39216,,
69,0.48196,0.90476,,
70,0.62448,0.78125,2.26039,0.5
71,0.86499,0.79577,,
72,0.59696,0.84024,,
73,0.83446,0.79545,,
74,1.5941,0.60769,,
75,0.58309,0.81481,,
76,1.08269,0.76364,,
77,0.30341,0.94495,,
78,0.54381,0.85366,,
79,2.9353,0.47465,,
80,2.39294,0.47583,0.59451,0.88235
81,0.27405,0.94928,,
82,0.49677,0.87234,,
83,0.31447,0.94175,,
84,0.83572,0.77273,,
