step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.91994,0.77419,,
2,1.49988,0.78947,,
3,3.45045,0.61111,,
4,0.90429,0.86765,,
5,1.04026,0.81538,,
6,4.89069,0.47826,,
7,2.33777,0.62281,,
8,1.57143,0.75949,,
9,0.90067,0.84615,,
10,1.77966,0.625,2.21685,0.54545
11,1.22226,0.75214,,
12,2.10981,0.52212,,
13,1.44499,0.76316,,
14,1.2089,0.7033,,
15,1.35393,0.72152,,
16,2.43636,0.47826,,
17,2.17057,0.55556,,
18,1.02694,0.73333,,
19,1.75104,0.68132,,
20,0.45988,0.87156,1.90713,0.55128
21,0.93504,0.75439,,
22,2.41669,0.46711,,
23,1.22554,0.62069,,
24,1.21121,0.7549,,
25,0.82108,0.77381,,
26,1.78597,0.54217,,
27,0.75797,0.83254,,
28,0.35571,0.89524,,
29,1.22646,0.71739,,
30,0.45171,0.93333,1.50525,0.77193
31,2.36544,0.51012,,
32,1.04161,0.76923,,
33,3.40077,0.34884,,
34,1.62983,0.72989,,
35,0.4039,0.91765,,
36,0.86472,0.78788,,
37,1.15074,0.74227,,
38,0.24387,0.93939,,
39,0.9225,0.80165,,
40,0.46238,0.83333,0.47071,0.87879
41,0.29101,0.93182,,
42,0.07855,0.96154,,
43,1.37513,0.7,,
44,0.27606,0.94737,,
45,0.45111,0.89423,,
46,0.18283,0.93333,,
47,0.28356,0.9,,
48,0.27915,0.90278,,
49,0.27332,0.93103,,
50,1.38413,0.67647,0.61197,0.85915
51,0.52412,0.8617,,
52,2.47426,0.55556,,
53,0.60655,0.7907,,
54,0.46763,0.78261,,
55,0.84507,0.78947,,
56,0.92862,0.81818,,
57,1.91765,0.60976,,
58,0.5587,0.87234,,
59,0.40986,0.92727,,
60,0.20683,0.91667,0.75982,0.81457
61,0.12816,1.0,,
62,0.50584,0.87179,,
63,1.50554,0.65217,,
64,0.41781,0.91139,,
65,0.71539,0.82609,,
66,1.05272,0.79412,,
67,0.47602,0.86047,,
68,0.50016,0.88517,,
69,0.12198,0.96491,,
70,0.7146,0.86364,2.23385,0.52326
71,0.03442,1.0,,
72,0.21706,0.96364,,
73,0.20852,0.96774,,
74,0.71071,0.82456,,
75,0.20381,0.97333,,
76,0.31278,0.90426,,
77,0.12598,0.94737,,
78,0.18316,0.95652,,
79,1.6123,0.66667,,
80,0.37778,0.92553,0.52088,0.91176
81,1.40752,0.75862,,
82,0.08458,0.9633,,
83,0.55752,0.87895,,
84,0.23487,0.90476,,
85,0.37559,0.90476,,
86,0.4381,0.84848,,
87,0.13735,0.93103,,
88,0.44697,0.92405,,
89,0.55182,0.86154,,
90,2.11924,0.55556,0.36569,0.90556
91,0.43021,0.86667,,
92,0.04244,0.9697,,
93,0.47851,0.85165,,
94,0.1067,0.96324,,
95,0.75984,0.84314,,
96,0.17488,0.95,,
97,0.91909,0.8,,
98,0.14398,0.95714,,
99,0.84281,0.78351,,
100,2.0356,0.53846,2.02017,0.59524
101,1.33797,0.74747,,
102,0.08789,0.97143,,
103,0.25109,0.93529,,
104,0.11303,0.96667,,
105,0.10427,0.94737,,
106,0.22159,0.95455,,
107,0.14524,0.95833,,
108,0.55149,0.86842,,
109,0.06895,0.99231,,
110,3.01883,0.39535,0.23429,0.91156
111,0.60594,0.85526,,
112,0.13137,0.96552,,
113,0.55449,0.77778,,
114,0.30921,0.91346,,
115,1.04425,0.77108,,
116,0.07795,0.95833,,
117,1.16877,0.82609,,
118,0.51491,0.87912,,
119,0.98966,0.75824,,
120,0.57054,0.87603,0.32946,0.92481
121,1.41615,0.67257,,
122,0.48636,0.85088,,
123,0.10368,0.95833,,
124,0.36477,0.92405,,
125,0.09722,0.98182,,
126,0.02214,1.0,,
127,0.15577,0.97333,,
128,0.06757,0.97619,,
129,0.15996,0.93939,,
130,1.22522,0.72464,2.09041,0.58545
131,0.01678,1.0,,
132,0.30092,0.94681,,
133,0.32374,0.93671,,
134,0.16124,0.96774,,
135,1.33139,0.76437,,
136,1.93646,0.5749,,
137,1.82543,0.61111,,
138,0.42354,0.92424,,
139,0.68409,0.83505,,
140,0.31945,0.90909,0.48092,0.85714
141,1.23848,0.75758,,
142,2.87679,0.38953,,
143,0.85097,0.76923,,
144,0.58445,0.82609,,
145,0.47253,0.88158,,
146,0.14452,0.96552,,
147,0.83021,0.84337,,
148,0.1903,0.95455,,
149,0.10706,0.94737,,
150,0.19863,0.94681,0.22462,0.97368
151,0.37052,0.91866,,
152,0.36532,0.89744,,
153,0.2056,0.93529,,
154,0.40242,0.90769,,
155,0.11378,0.95652,,
156,0.09252,0.95833,,
157,0.08056,0.96324,,
158,0.12891,0.95714,,
159,0.08151,0.97143,,
160,0.0423,0.99231,0.0602,0.97802
161,0.25149,0.90476,,
162,0.0898,0.96552,,
163,0.41043,0.86842,,
164,1.40639,0.69919,,
165,0.23887,0.93023,,
166,0.46942,0.90083,,
167,0.36228,0.91111,,
168,0.40006,0.91209,,
169,0.47566,0.90132,,
170,0.37198,0.9011,1.34527,0.69811
171,0.64029,0.8,,
172,1.28015,0.71681,,
173,0.40889,0.91579,,
174,0.56665,0.86842,,
175,0.6502,0.82353,,
176,0.41484,0.83333,,
177,0.58755,0.89216,,
178,0.1963,0.96154,,
179,0.06845,0.97248,,
180,0.12021,0.975,0.38199,0.87407
181,0.08292,1.0,,
182,0.76695,0.86957,,
183,0.04922,0.98246,,
