step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.064,0.54688,,
2,1.5669,0.76699,,
3,3.07128,0.42593,,
4,4.25973,0.51515,,
5,2.67652,0.60784,,
6,1.6962,0.8,,
7,3.12229,0.5283,,
8,3.32866,0.46512,,
9,2.03913,0.69565,,
10,2.75876,0.57534,,
11,3.87425,0.52632,,
12,1.13138,0.79562,,
13,0.8001,0.84649,,
14,2.59629,0.58333,,
15,3.03832,0.47059,,
16,1.3448,0.76667,,
17,2.47248,0.63462,,
18,1.86988,0.66875,,
19,2.62503,0.59016,,
20,2.29735,0.59292,,
21,1.63875,0.72727,,
22,1.67609,0.74242,,
23,3.30053,0.5,,
24,3.80344,0.51724,,
25,2.0419,0.62712,,
26,0.56358,0.87179,,
27,2.56988,0.6,,
28,0.4167,0.9,,
29,1.36273,0.7027,,
30,1.94322,0.58,,
31,1.6621,0.68644,,
32,2.07136,0.55714,,
33,2.07488,0.64444,,
34,0.81539,0.82857,,
35,2.25102,0.48182,,
36,0.64519,0.87248,,
37,1.56407,0.69767,,
38,1.0555,0.73267,,
39,1.13532,0.74046,,
40,0.60669,0.84699,,
41,1.29104,0.73684,,
42,0.54841,0.8764,,
43,0.57497,0.86885,,
44,1.39112,0.69737,,
45,1.05448,0.72826,,
46,1.54381,0.66667,,
47,1.03119,0.79688,,
48,1.40493,0.71233,,
49,0.71773,0.84375,,
50,1.14394,0.71053,,
51,0.52824,0.84615,,
52,0.61093,0.86598,,
53,2.42897,0.55118,,
54,1.5022,0.67742,,
55,2.15983,0.54386,,
56,1.46163,0.67873,,
57,0.96053,0.7619,,
58,0.7114,0.8169,,
59,1.37725,0.72143,,
60,0.43372,0.87952,,
61,0.57015,0.80435,,
62,0.4595,0.89362,,
63,0.34795,0.92308,,
64,0.52503,0.84211,,
65,1.07741,0.75926,,
66,1.38739,0.7234,,
67,0.07863,0.98667,,
68,0.18253,0.96053,,
69,0.48605,0.91954,,
70,1.67729,0.64286,,
71,0.79802,0.8,,
72,0.83234,0.83333,,
73,0.23989,0.95122,,
74,0.78314,0.81443,,
75,0.92111,0.8125,,
76,1.53271,0.68807,,
77,0.16156,0.95946,,
78,0.81791,0.79221,,
79,0.80811,0.92105,,
80,0.09304,0.97368,,
81,0.4965,0.89474,,
82,1.84235,0.65789,,
83,1.35148,0.72727,,
84,1.02244,0.88235,,
85,0.31903,0.91954,,
86,1.45181,0.6988,,
87,0.15195,0.94167,,
88,0.11568,0.97872,,
89,0.13433,0.9726,,
90,1.30936,0.73214,,
91,0.06262,0.98851,,
92,0.27788,0.95,,
93,0.34237,0.84314,,
94,0.30431,0.89474,,
95,0.20709,0.9,,
96,0.20651,0.92647,,
97,0.24966,0.93506,,
98,0.31315,0.92,,
99,0.38594,0.90476,,
100,0.6214,0.82143,0.36766,0.89062
101,0.26639,0.91429,,
102,0.51574,0.89024,,
103,0.14329,0.97436,,
104,0.5791,0.85714,,
105,0.48171,0.92105,,
106,0.30814,0.8951,,
107,1.54119,0.68,,
108,1.57134,0.66279,,
109,0.17364,0.95062,,
110,2.00554,0.61905,,
111,0.16859,0.93443,,
112,0.05973,0.98077,,
113,0.95512,0.82692,,
114,0.29937,0.88095,,
115,0.57229,0.83234,,
116,0.08303,0.97143,,
117,0.46419,0.87387,,
118,0.87238,0.93548,,
119,0.7633,0.83333,,
120,0.18347,0.93204,,
121,0.36108,0.89041,,
122,0.23625,0.9408,,
123,1.10921,0.75676,,
124,0.2987,0.92045,,
125,0.24049,0.92593,,
126,0.28659,0.91954,,
127,1.71659,0.65476,,
128,0.32041,0.91667,,
129,1.09005,0.75532,,
130,0.66683,0.81928,,
131,1.63552,0.65672,,
132,0.19754,0.95946,,
133,0.10731,0.98148,,
134,1.25643,0.7033,,
