step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.45531,0.51471,,
2,3.61348,0.48889,,
3,1.07575,0.83516,,
4,1.53802,0.76415,,
5,2.52684,0.62745,,
6,1.7664,0.72727,,
7,1.25895,0.79562,,
8,2.34293,0.63415,,
9,1.79072,0.69159,,
10,3.75433,0.43636,2.60314,0.64062
11,1.36831,0.77311,,
12,1.63691,0.68548,,
13,3.36474,0.40225,,
14,1.35937,0.75472,,
15,1.38543,0.7541,,
16,3.15924,0.41237,,
17,1.13609,0.78862,,
18,1.85608,0.69512,,
19,1.58396,0.65882,,
20,1.82908,0.63235,1.12975,0.75728
21,2.85161,0.57576,,
22,1.20939,0.78723,,
23,1.88277,0.62651,,
24,1.8942,0.68394,,
25,1.53219,0.69388,,
26,1.9261,0.61364,,
27,1.00053,0.7931,,
28,0.40631,0.90189,,
29,2.62667,0.51402,,
30,1.12647,0.74684,0.57175,0.87042
31,0.8481,0.82796,,
32,1.08602,0.71429,,
33,2.44627,0.52632,,
34,0.84825,0.79021,,
35,1.41681,0.71429,,
36,0.72138,0.80189,,
37,1.74709,0.68932,,
38,0.8914,0.78571,,
39,2.44541,0.55906,,
40,0.42048,0.90833,0.97402,0.78626
41,0.73251,0.7973,,
42,0.47316,0.89262,,
43,2.76584,0.44792,,
44,0.45254,0.86667,,
45,1.07566,0.65957,,
46,0.56664,0.83333,,
47,1.40816,0.68142,,
48,1.11288,0.775,,
49,1.26371,0.73649,,
50,0.30327,0.94521,1.78296,0.63636
51,0.3798,0.92896,,
52,0.37765,0.89744,,
53,0.21541,0.91892,,
54,0.21798,0.95122,,
55,0.22057,0.93827,,
56,0.49755,0.86667,,
57,0.38657,0.89655,,
58,0.76945,0.77011,,
59,0.22985,0.9403,,
60,1.47095,0.74,1.56939,0.70861
61,0.43224,0.93548,,
62,0.27401,0.95238,,
63,0.39929,0.85714,,
64,0.82263,0.824,,
65,0.44628,0.94937,,
66,0.41839,0.84211,,
67,0.36828,0.93636,,
68,0.50562,0.82278,,
69,0.57693,0.90991,,
70,0.33779,0.92857,0.3115,0.93878
71,0.39967,0.86667,,
72,1.15597,0.90323,,
73,1.03189,0.75214,,
74,0.94194,0.84466,,
75,0.849,0.81407,,
76,1.55762,0.685,,
77,0.13748,0.94167,,
78,0.5083,0.85915,,
79,1.20916,0.74157,,
80,0.53052,0.8587,1.87856,0.60825
81,0.14525,0.93711,,
82,0.47525,0.86842,,
83,0.42169,0.93243,,
84,0.21485,0.97674,,
85,0.05655,0.97674,,
86,0.25116,0.95714,,
87,2.57803,0.47552,,
88,0.53547,0.83594,,
89,0.47827,0.92105,,
90,0.25103,0.95699,0.5821,0.90196
91,1.11646,0.77,,
92,0.1643,0.95294,,
93,0.10596,0.96552,,
94,0.59714,0.89691,,
95,0.88987,0.74561,,
96,0.38854,0.90052,,
97,0.31662,0.88889,,
98,0.69712,0.78125,,
99,0.75048,0.84058,,
100,1.29334,0.71429,0.48418,0.86275
101,0.19663,0.95122,,
102,1.30593,0.83168,,
103,0.35142,0.90123,,
104,0.26116,0.9359,,
105,0.76439,0.91111,,
106,0.06707,0.96774,,
107,0.8484,0.82692,,
108,0.45927,0.87097,,
109,1.33032,0.71579,,
110,0.14794,0.9569,0.09414,0.97333
111,0.27006,0.90196,,
112,0.34886,0.85,,
113,0.27745,0.93617,,
114,1.23389,0.70192,,
115,0.08055,0.95413,,
116,0.24434,0.94828,,
117,0.52485,0.86667,,
118,0.23821,0.925,,
119,0.2271,0.94737,,
120,0.10545,0.98889,0.25906,0.92593
121,0.12137,0.96774,,
122,0.07084,1.0,,
123,0.47436,0.85714,,
124,2.07426,0.54475,,
125,0.35724,0.87356,,
126,0.33633,0.91111,,
127,0.37519,0.90566,,
128,0.49842,0.89062,,
129,0.04052,0.98214,,
130,0.43316,0.88591,0.27049,0.92
131,0.33011,0.90435,,
132,2.26065,0.49257,,
133,0.07853,1.0,,
134,1.17301,0.80342,,
135,0.43614,0.88525,,
136,0.91983,0.784,,
137,0.7913,0.89474,,
138,0.131,0.94805,,
139,0.07097,0.97222,,
140,0.86653,0.85938,0.12968,0.92727
141,0.1288,0.96809,,
142,0.2988,0.97059,,
143,0.07212,0.95745,,
144,0.22834,0.93478,,
145,0.03396,0.99187,,
146,0.18192,0.96875,,
147,0.19114,0.96875,,
148,0.28717,0.89623,,
149,0.44469,0.86207,,
150,0.6447,0.93103,0.25354,0.95455
151,0.8775,0.79365,,
152,1.42816,0.70642,,
153,0.13692,0.97059,,
154,0.72723,0.78125,,
155,0.39361,0.87379,,
156,0.1437,0.94805,,
157,0.58413,0.875,,
158,0.16423,0.97938,,
159,0.53184,0.8626,,
160,0.25815,0.93827,2.15081,0.59124
161,1.65404,0.7093,,
162,0.15307,0.95652,,
163,1.09364,0.73418,,
164,0.21248,0.9469,,
165,0.89668,0.75676,,
166,0.23505,0.94444,,
167,0.0225,1.0,,
168,0.3028,0.93182,,
169,0.5683,0.88732,,
170,0.32778,0.90179,1.28468,0.71769
171,0.52033,0.91053,,
172,0.12875,0.96875,,
173,2.27728,0.54839,,
174,0.01049,1.0,,
175,0.22578,0.91111,,
176,0.11375,0.97917,,
177,0.06334,0.98485,,
178,1.12359,0.73554,,
179,0.82753,0.8,,
180,2.28957,0.48023,0.26974,0.95312
181,1.00621,0.75581,,
182,1.51813,0.70175,,
183,0.00623,1.0,,
184,0.10476,0.96226,,
185,0.21731,0.96644,,
186,0.06596,0.98113,,
187,0.34259,0.90909,,
188,1.11535,0.75,,
189,1.04587,0.74157,,
190,0.36082,0.91371,2.48976,0.55556
191,0.39796,0.91892,,
192,1.90312,0.56667,,
193,0.56231,0.90411,,
194,0.21922,0.9434,,
195,0.41847,0.90526,,
196,0.59766,0.8,,
197,0.12433,0.94872,,
198,0.41168,0.88312,,
199,0.18764,0.94382,,
200,0.23831,0.92,2.11918,0.52756
201,0.31336,0.92466,,
202,0.0991,0.98333,,
203,0.24413,0.93023,,
204,0.33126,0.92233,,
205,1.91411,0.61306,,
206,0.3727,0.90566,,
207,0.14885,0.98148,,
208,0.03335,1.0,,
209,0.29606,0.95484,,
210,0.93289,0.85366,2.16733,0.54331
211,1.00916,0.76,,
212,1.72792,0.63953,,
213,0.26697,0.92308,,
214,0.15605,0.96,,
215,0.67742,0.85185,,
216,0.00964,1.0,,
217,0.62174,0.83146,,
218,0.02824,1.0,,
219,0.51854,0.84314,,
220,0.11077,0.96341,0.7073,0.88636
221,0.51718,0.85714,,
222,1.75167,0.70455,,
223,0.01578,1.0,,
224,0.56026,0.85714,,
225,0.08311,0.98765,,
226,0.73693,0.81098,,
227,0.19247,0.94512,,
228,0.50126,0.87425,,
229,0.69356,0.82301,,
230,0.31086,0.92168,0.06409,0.98113
231,1.12434,0.76351,,
232,0.54429,0.85938,,
233,0.67326,0.84444,,
234,0.20449,0.94595,,
235,2.78425,0.45178,,
236,0.2897,0.91489,,
237,1.64312,0.67742,,
238,0.0366,1.0,,
239,1.08591,0.74522,,
240,0.92655,0.79699,0.72826,0.81905
241,0.36458,0.94643,,
242,0.25633,0.95455,,
243,0.32746,0.91409,,
244,0.97554,0.77727,,
245,0.26343,0.92857,,
246,0.02111,1.0,,
247,0.88895,0.78231,,
248,0.16151,0.95146,,
249,0.18388,0.97143,,
250,0.2413,0.92771,1.85169,0.6371
251,1.278,0.73585,,
252,0.4192,0.87755,,
253,1.27382,0.82143,,
254,0.18145,0.93976,,
255,1.0924,0.93103,,
256,0.60099,0.86667,,
257,0.27739,0.94366,,
258,0.4438,0.89831,,
259,0.19633,0.96053,,
260,0.96905,0.77778,0.13911,0.96739
261,0.04324,0.9902,,
262,0.26665,0.90991,,
263,0.17649,0.92308,,
264,0.06813,0.97674,,
265,0.13379,0.96622,,
266,0.45449,0.93182,,
267,0.41997,0.89943,,
268,0.28596,0.87805,,
269,0.00697,1.0,,
270,0.16528,0.92683,0.03897,0.98649
271,0.22492,0.95181,,
272,0.99684,0.76991,,
273,0.68239,0.84127,,
274,0.30584,0.93684,,
275,0.14601,0.97674,,
276,1.09641,0.80583,,
277,0.35417,0.90654,,
278,0.11676,0.96117,,
279,0.75784,0.87255,,
280,0.10766,0.97414,0.12516,0.96226
281,0.05521,0.97826,,
282,0.9926,0.82906,,
283,0.05244,0.97561,,
284,0.12389,0.98148,,
285,0.06422,0.96,,
286,1.09393,0.76404,,
287,0.09349,0.97531,,
288,0.36536,0.89062,,
289,0.94392,0.82432,,
290,0.388,0.89873,0.30299,0.93798
291,0.00375,1.0,,
292,0.01233,1.0,,
293,0.14902,0.97126,,
294,0.24889,0.94262,,
295,0.16672,0.96907,,
296,0.86645,0.79775,,
297,0.13916,0.97987,,
298,0.35301,0.89412,,
299,0.18419,0.94764,,
300,0.23744,0.92233,0.30607,0.925
301,0.78647,0.82,,
302,0.0059,1.0,,
303,0.29702,0.93182,,
304,0.2774,0.92063,,
305,0.8447,0.825,,
306,0.23755,0.92381,,
307,0.38049,0.89062,,
308,0.19023,0.95082,,
309,0.16418,0.95676,,
310,0.11895,0.97143,0.14006,0.9661
311,0.41779,0.88811,,
312,0.80139,0.85437,,
313,0.18882,0.95238,,
314,0.28008,0.96552,,
315,0.172,0.92958,,
316,0.16162,0.97297,,
317,0.06742,1.0,,
318,0.24906,0.93878,,
319,0.91031,0.79054,,
320,0.24458,0.91111,0.40111,0.91333
321,0.03055,1.0,,
322,0.00277,1.0,,
323,0.1586,0.94545,,
324,0.00721,1.0,,
325,0.09546,0.97561,,
326,0.38706,0.90196,,
327,0.24678,0.93471,,
328,0.07899,0.98438,,
329,0.71777,0.85841,,
330,0.07534,0.9759,0.61137,0.875
