step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.88773,0.7375,2.85333,0.625
2,2.57819,0.61702,1.8314,0.70874
3,1.11489,0.84756,0.678,0.86911
4,4.20569,0.5,1.74728,0.69466
5,1.54562,0.72414,2.54979,0.53846
6,0.83818,0.83673,2.36777,0.57616
7,3.04174,0.55882,0.97122,0.82313
8,2.40354,0.59459,2.71141,0.48454
9,1.76195,0.68,2.03963,0.62745
10,1.04684,0.81053,2.2067,0.60784
11,1.40672,0.71875,0.69734,0.82667
12,0.60374,0.87919,1.0955,0.75926
13,0.89128,0.78226,1.37848,0.72
14,0.81805,0.81208,0.88918,0.8
15,1.90253,0.60256,0.8903,0.81818
16,0.70954,0.83854,2.43605,0.54015
17,0.64459,0.81982,1.13011,0.7585
18,0.69417,0.85849,0.93594,0.8125
19,1.4462,0.69767,2.84152,0.5
20,0.54308,0.89032,2.32735,0.47244
21,0.97531,0.71795,2.26195,0.50394
22,1.0664,0.72973,1.38072,0.77273
23,0.74513,0.8,0.4949,0.88679
24,0.71907,0.82051,0.98216,0.77143
25,0.52052,0.8629,1.89516,0.59677
26,0.63398,0.84,0.31936,0.94565
27,1.00768,0.80233,0.16389,0.98649
28,0.43105,0.92188,0.44632,0.92453
29,0.98714,0.79487,0.37512,0.93023
30,0.38617,0.94118,0.4196,0.91875
31,0.23479,0.95283,0.1502,0.98305
32,0.22584,0.96842,0.47465,0.88
33,0.32679,0.9125,0.78295,0.83333
34,0.2845,0.91892,0.15656,0.96599
35,0.68047,0.875,0.49772,0.85417
36,1.18342,0.73404,2.12342,0.5814
37,0.01888,1.0,0.27954,0.92208
38,0.18777,0.97987,2.26109,0.54086
39,0.04308,1.0,0.56202,0.93846
40,0.18744,0.96774,1.12708,0.81356
41,0.06947,0.95402,0.84909,0.84314
42,0.04111,0.98639,0.36241,0.92208
43,0.43102,0.94595,0.06267,1.0
44,0.23257,0.95122,0.42296,0.90278
45,0.21576,0.92793,0.02705,1.0
46,0.30017,0.92617,0.22321,0.9434
47,0.62708,0.87179,0.2291,0.9434
48,0.01577,0.9932,0.50528,0.93103
49,0.05809,0.97895,1.18905,0.75397
50,0.34191,0.95946,0.15424,0.94545
51,0.08538,0.9871,0.32347,0.91096
52,0.09031,0.97436,0.29901,0.92593
53,0.12854,0.98113,0.26269,0.91111
54,0.17882,0.925,0.08482,0.98507
55,0.30032,0.92742,0.46348,0.85106
56,0.29874,0.93229,0.43124,0.89831
57,0.14918,0.95495,0.26215,0.95722
58,0.57007,0.89583,0.60081,0.84375
59,0.22024,0.96,0.29298,0.94393
60,0.14592,0.94595,0.23241,0.93617
61,0.18232,0.97059,0.61141,0.89744
62,0.01484,1.0,0.28638,0.90291
63,0.21615,0.93289,0.29875,0.88889
64,0.54935,0.86047,0.69195,0.83117
65,0.00218,1.0,0.35592,0.93243
66,0.00291,1.0,0.70611,0.87288
67,0.11853,0.97987,0.09536,0.94286
68,0.15937,0.96951,0.55932,0.84615
69,0.99726,0.7766,1.23682,0.72
70,0.13799,0.97059,0.10253,0.9726
71,0.05121,0.9871,0.02413,1.0
72,0.01373,1.0,1.04683,0.81034
73,0.03872,1.0,2.19906,0.5814
74,0.09498,0.97987,0.15804,0.96203
75,0.20786,0.96,0.59489,0.86667
76,0.15339,0.9625,0.2325,0.94167
77,0.08735,0.98198,0.43263,0.89831
78,0.25675,0.93229,0.35937,0.86364
79,0.9305,0.7766,0.4086,0.85938
80,0.42847,0.91026,0.9783,0.80583
81,0.00086,1.0,1.95053,0.61069
82,0.26077,0.95946,0.07382,0.9697
83,0.13568,0.96644,1.19808,0.82
84,0.00094,1.0,3.33519,0.40437
85,0.09091,0.98113,0.2423,0.92157
86,0.43504,0.88372,0.87709,0.78218
87,0.12292,0.96951,0.38057,0.875
88,0.01887,0.9932,0.38788,0.90291
89,0.00678,1.0,0.52373,0.88482
90,0.47415,0.90625,0.7068,0.8626
91,0.23295,0.93548,1.90085,0.65035
92,0.07483,0.97297,1.71419,0.68212
